x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4715847,-0.6206347,1.110329,1.06853,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,655.4366,294.20686666666666,0.44887090192364104
0.3903914,-0.6206347,1.118318,1.07652,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,655.4339333333334,285.22633333333334,0.4351710884294236
0.309198,-0.6206347,1.126308,1.08451,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,655.437,276.24583333333334,0.4214675275668078
0.2280046,-0.6206347,1.134298,1.0925,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,655.4401333333334,253.02779999999998,0.3860419908546071
0.1468113,-0.6206347,1.142287,1.100489,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,655.4432333333333,246.63109999999998,0.3762808297904012
0.06561788,-0.6206347,1.150277,1.108479,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,655.4463666666667,251.04123333333337,0.3830074634520616
-0.0155755,-0.6206347,1.158267,1.116469,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,655.4494666666667,256.26213333333334,0.3909710136245231
-0.09676887,-0.6206347,1.166256,1.124458,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,655.4526,237.78086666666664,0.36277299669521484
-0.1779622,-0.6206347,1.174246,1.132448,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,655.4556666666666,256.24150000000003,0.3909358360837483
-0.2591556,-0.6206347,1.182236,1.140438,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,655.4587666666666,257.76106666666664,0.3932523089517877
-0.340349,-0.6206347,1.190226,1.148427,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,655.4618666666667,280.45463333333333,0.42787264938374847
-0.4215424,-0.6206347,1.198215,1.156417,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,655.465,289.47560000000004,0.4416332807498788
0.4715847,-0.4433105,1.110329,1.06853,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,655.4354333333334,294.5977,0.4494679957013883
0.3903914,-0.4433105,1.118318,1.07652,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,655.4385666666667,283.4114,0.432398979880525
0.309198,-0.4433105,1.126308,1.08451,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,655.4416666666666,273.1625,0.4167603268630667
0.2280046,-0.4433105,1.134298,1.0925,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,655.4448,251.6555,0.38394555278254894
0.1468113,-0.4433105,1.142287,1.100489,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,655.4478666666668,246.11800000000002,0.3754953475648698
0.06561788,-0.4433105,1.150277,1.108479,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,655.4509666666667,240.40009999999998,0.36676997282129853
-0.0155755,-0.4433105,1.158267,1.116469,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,655.4540666666667,250.8899666666667,0.3827721829088514
-0.09676887,-0.4433105,1.166256,1.124458,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,655.4571666666666,250.3340333333333,0.3819222126812568
-0.1779622,-0.4433105,1.174246,1.132448,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,655.4603000000001,254.85209999999998,0.38881334412878377
-0.2591556,-0.4433105,1.182236,1.140438,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,655.4634,268.2624666666666,0.40927084166076244
