x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.08693898,-0.6206347,1.408991,1.382361,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,738.5870666666666,158.08866666666665,0.2140417288085077
0.03520919,-0.6206347,1.345902,1.319272,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,738.3996666666667,154.5066,0.20924493567629499
-0.01652061,-0.6206347,1.282813,1.256183,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,738.2163,148.85566666666668,0.2016420729596376
-0.0682504,-0.6206347,1.219724,1.193094,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,738.033,150.34640000000002,0.20371202410729047
-0.1199802,-0.6206347,1.156635,1.130005,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,737.8497333333333,151.76343333333332,0.20568310970936216
-0.17171,-0.6206347,1.093546,1.066915,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,737.6663666666667,166.49706666666668,0.22570751288487256
-0.2234398,-0.6206347,1.030457,1.003826,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,736.8244666666668,140.48893333333334,0.19066785784277088
-0.2751696,-0.6206347,0.9673677,0.9407374,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,736.6299333333333,148.13366666666667,0.2010961798689964
-0.3268994,-0.6206347,0.9042787,0.8776483,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,736.4395333333333,159.6647,0.21680596432859756
-0.3786291,-0.6206347,0.8411896,0.8145593,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,736.2491333333332,194.0942,0.26362535123932523
-0.4303589,-0.6206347,0.7781006,0.7514702,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,736.0586666666667,206.84096666666667,0.28101114085407025
-0.4820887,-0.6206347,0.7150115,0.6883812,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,737.2190333333333,207.31003333333334,0.28120510018695916
0.08693898,-0.4433105,1.408991,1.382361,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,738.6593666666666,157.44573333333332,0.21315037389082425
0.03520919,-0.4433105,1.345902,1.319272,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,738.4760666666667,154.44503333333333,0.20913991822449732
-0.01652061,-0.4433105,1.282813,1.256183,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,738.1054666666665,145.55763333333334,0.19720411608189864
-0.0682504,-0.4433105,1.219724,1.193094,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,737.7494666666666,146.47753333333335,0.19854617509786737
-0.1199802,-0.4433105,1.156635,1.130005,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,737.3966666666666,150.2884,0.2038091613163951
-0.17171,-0.4433105,1.093546,1.066915,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,737.0308666666666,160.35233333333335,0.21756499357151274
-0.2234398,-0.4433105,1.030457,1.003826,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,736.8094666666666,136.64563333333334,0.18545560834866898
-0.2751696,-0.4433105,0.9673677,0.9407374,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,736.6190666666666,144.4975,0.19616286134299357
-0.3268994,-0.4433105,0.9042787,0.8776483,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,736.6548666666667,155.65836666666667,0.2113040480774469
-0.3786291,-0.4433105,0.8411896,0.8145593,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,737.4736333333334,194.7043,0.26401491142813993
-0.4303589,-0.4433105,0.7781006,0.7514702,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,737.9018333333333,201.32126666666667,0.27282896551194524
-0.4820887,-0.4433105,0.7150115,0.6883812,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,737.5780666666666,207.4453,0.28125160999688537
0.08693898,-0.2659863,1.408991,1.382361,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,738.7358666666668,157.16596666666666,0.21274959157762352
0.03520919,-0.2659863,1.345902,1.319272,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,738.5525666666666,151.81573333333333,0.20555818858004749
-0.01652061,-0.2659863,1.282813,1.256183,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,738.2359666666666,146.99953333333335,0.19912242270537436
-0.0682504,-0.2659863,1.219724,1.193094,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,737.7850333333334,145.29806666666667,0.19693794691423858
-0.1199802,-0.2659863,1.156635,1.130005,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,737.3323999999999,149.6206,0.20292122939229393
-0.17171,-0.2659863,1.093546,1.066915,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,736.9890333333333,160.51883333333333,0.2178032620160716
-0.2234398,-0.2659863,1.030457,1.003826,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,736.7986333333333,135.32456666666667,0.1836653556061759
-0.2751696,-0.2659863,0.9673677,0.9407374,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,736.6081666666668,142.1817,0.1930218987681165
-0.3268994,-0.2659863,0.9042787,0.8776483,a2.1.a3.5.0.cellPVmodule.6457,a2.1.a3.5.0.cellPVmodule.2310,736.4178333333334,174.7977666666667,0.23736189075374453
-0.3786291,-0.2659863,0.8411896,0.8145593,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,737.8694,194.09083333333334,0.26304190184798487
-0.4303589,-0.2659863,0.7781006,0.7514702,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,737.5719666666668,205.5221333333333,0.27864651040852945
-0.4820887,-0.2659863,0.7150115,0.6883812,a2.1.a3.7.0.cellPVmodule.6457,a2.1.a3.7.0.cellPVmodule.2310,737.3108666666667,206.04613333333336,0.27945587565930946
0.08693898,-0.08866211,1.408991,1.382361,a2.1.a4.0.0.cellPVmodule.6457,a2.1.a4.0.0.cellPVmodule.2310,738.8123,158.8962,0.21506949049238824
0.03520919,-0.08866211,1.345902,1.319272,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,738.6290333333333,154.98659999999998,0.20982981060297168
-0.01652061,-0.08866211,1.282813,1.256183,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,738.4457333333334,147.814,0.20016880477319013
-0.0682504,-0.08866211,1.219724,1.193094,a2.1.a4.2.0.cellPVmodule.6457,a2.1.a4.2.0.cellPVmodule.2310,737.5445666666666,148.04229999999998,0.20072292030589567
-0.1199802,-0.08866211,1.156635,1.130005,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,737.2801333333333,147.9188,0.20062740427283415
-0.17171,-0.08866211,1.093546,1.066915,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,737.0196333333333,158.77953333333335,0.2154343123546202
-0.2234398,-0.08866211,1.030457,1.003826,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,737.4161,136.43193333333332,0.18501324872088445
-0.2751696,-0.08866211,0.9673677,0.9407374,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,737.8873333333335,144.61533333333333,0.19598539074340512
-0.3268994,-0.08866211,0.9042787,0.8776483,a2.1.a4.5.0.cellPVmodule.6457,a2.1.a4.5.0.cellPVmodule.2310,738.2130999999999,174.19313333333335,0.2359656004041827
-0.3786291,-0.08866211,0.8411896,0.8145593,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,737.884,194.8936666666667,0.2641247168144991
-0.4303589,-0.08866211,0.7781006,0.7514702,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,737.5549000000001,200.00793333333334,0.2711766434697808
-0.4820887,-0.08866211,0.7150115,0.6883812,a2.1.a4.7.0.cellPVmodule.6457,a2.1.a4.7.0.cellPVmodule.2310,737.2257,206.2649,0.27978490198469486
0.08693898,0.08866211,1.408991,1.382361,a2.1.a6.0.0.cellPVmodule.6457,a2.1.a6.0.0.cellPVmodule.2310,738.3980333333333,158.16263333333333,0.2141966960863212
0.03520919,0.08866211,1.345902,1.319272,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,738.1375333333334,154.8113666666667,0.20973212977726494
-0.01652061,0.08866211,1.282813,1.256183,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,737.8770333333333,150.878,0.2044755273692251
-0.0682504,0.08866211,1.219724,1.193094,a2.1.a6.2.0.cellPVmodule.6457,a2.1.a6.2.0.cellPVmodule.2310,737.6165333333333,145.3275,0.19702283830382555
-0.1199802,0.08866211,1.156635,1.130005,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,737.3560666666666,144.92409999999998,0.19654534627999315
-0.17171,0.08866211,1.093546,1.066915,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,737.0955666666667,158.94126666666668,0.21563153846373
-0.2234398,0.08866211,1.030457,1.003826,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,736.8350333333333,137.66123333333334,0.18682749907136736
-0.2751696,0.08866211,0.9673677,0.9407374,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,737.3555333333334,144.36006666666665,0.1957805486771302
-0.3268994,0.08866211,0.9042787,0.8776483,a2.1.a6.5.0.cellPVmodule.6457,a2.1.a6.5.0.cellPVmodule.2310,738.2309,155.65713333333335,0.2108512695446151
