x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;291896,7088;97807,19876;0,335074687
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;291935,686;95288,75179;0,326403232
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;291974,5786;91910,01887;0,314787743
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;292012,9414;87539,7505;0,299780379
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;291981,6226;85813,03707;0,29389876
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;291970,3918;88527,75953;0,303208002
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;291981,9982;90852,23835;0,311156984
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;291980,7233;85519,66861;0,292894912
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;291980,6947;85790,11294;0,293821181
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;291947,9991;90951,90582;0,311534608
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;291928,1925;94883,77325;0,325024357
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;291933,8661;98752,14033;0,338268873
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;291872,0395;97181,87207;0,33296054
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;291900,6748;94487,68995;0,323698086
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;291923,6397;89801,53148;0,307619935
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;291936,1466;85143,99644;0,291652805
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;291946,4172;81824,63323;0,280272777
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;291954,9267;81370,45364;0,278708958
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;291956,0578;83297,1186;0,285307039
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;291950,0546;80577,82603;0,275998667
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;291940,6305;83309,38042;0,285364117
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;291936,59;89694,14325;0,307238442
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;291926,587;94407,17173;0,323393537
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;291912,2586;98019,4579;0,335783972
0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.0.0.cellPVmodule.6457;a2.1.a3.0.0.cellPVmodule.2310;291846,1132;96523,4545;0,330734075
0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;291877,2177;93786,59149;0,321322068
0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;291893,3432;89852,22308;0,307825529
0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.2.0.cellPVmodule.6457;a2.1.a3.2.0.cellPVmodule.2310;291907,324;84214,71171;0,28849811
0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;291920,4471;80665,8163;0,276328078
