x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4679722,-0.6206347,0.6817517,0.6574577,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,781.9880333333334,223.22813333333332,0.28546197429622944
0.4207809,-0.6206347,0.7483038,0.7240098,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,782.8031333333333,219.2379,0.28006737658172814
0.3735896,-0.6206347,0.8148558,0.7905619,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,783.6157999999999,215.24973333333332,0.27468749181147384
0.3263983,-0.6206347,0.8814079,0.857114,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,784.4283999999999,211.26153333333332,0.2693187345264384
0.279207,-0.6206347,0.94796,0.9236661,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,785.2411000000001,185.6237,0.23639040749343418
0.2320157,-0.6206347,1.014512,0.9902182,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,785.6151333333333,178.41433333333336,0.22710115763067326
0.1848244,-0.6206347,1.081064,1.05677,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,786.2096,197.71733333333336,0.25148138848971685
0.1376331,-0.6206347,1.147616,1.123322,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,786.8006333333333,184.1196,0.2340101903703047
0.09044179,-0.6206347,1.214168,1.189874,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,787.3915999999999,172.77186666666668,0.21942277164741794
0.04325049,-0.6206347,1.28072,1.256427,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,787.9825999999999,176.6804666666667,0.22421845666161924
-0.003940802,-0.6206347,1.347273,1.322979,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,788.2700666666666,176.12816666666666,0.2234360413752765
-0.0511321,-0.6206347,1.413825,1.389531,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,788.5942666666666,186.55180000000004,0.23656216044580206
0.4679722,-0.4433105,0.6817517,0.6574577,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,782.0317333333334,222.56806666666668,0.28460198298604894
0.4207809,-0.4433105,0.7483038,0.7240098,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,782.8921333333334,218.57986666666667,0.2791950233820759
0.3735896,-0.4433105,0.8148558,0.7905619,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,783.6704,209.2263,0.26698218156232323
0.3263983,-0.4433105,0.8814079,0.857114,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,784.3007666666666,207.00966666666667,0.2639413494457257
0.279207,-0.4433105,0.94796,0.9236661,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,784.8649666666666,204.79496666666668,0.2609298598287207
0.2320157,-0.4433105,1.014512,0.9902182,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,785.5568666666667,157.47633333333332,0.20046433243873907
0.1848244,-0.4433105,1.081064,1.05677,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,786.3013333333333,175.19543333333334,0.22280925021630782
0.1376331,-0.4433105,1.147616,1.123322,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,786.9311666666667,172.89313333333334,0.21970525625567472
0.09044179,-0.4433105,1.214168,1.189874,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,787.4625,167.83426666666665,0.2131327568410049
0.04325049,-0.4433105,1.28072,1.256427,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,787.889,173.07816666666668,0.21967300849949445
-0.003940802,-0.4433105,1.347273,1.322979,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,788.2186666666666,179.3642,0.22755610851289765
-0.0511321,-0.4433105,1.413825,1.389531,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,788.5395333333332,186.76953333333336,0.23685470237505446
0.4679722,-0.2659863,0.6817517,0.6574577,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,782.0729333333333,221.20090000000002,0.2828388603328126
0.4207809,-0.2659863,0.7483038,0.7240098,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,782.8856,216.4434666666667,0.2764684778953513
0.3735896,-0.2659863,0.8148558,0.7905619,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,783.5203333333333,211.68786666666665,0.2701749877901644
0.3263983,-0.2659863,0.8814079,0.857114,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,784.1113999999999,196.69776666666667,0.25085404422461205
0.279207,-0.2659863,0.94796,0.9236661,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,784.7023666666665,167.2248,0.21310575066136458
0.2320157,-0.2659863,1.014512,0.9902182,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,785.2933666666668,156.2413333333333,0.19895893815783977
0.1848244,-0.2659863,1.081064,1.05677,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,786.2078666666666,168.4275,0.21422742370496461
0.1376331,-0.2659863,1.147616,1.123322,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,786.9096333333333,171.8465666666667,0.2183812994605614
0.09044179,-0.2659863,1.214168,1.189874,a2.1.a3.5.0.cellPVmodule.6457,a2.1.a3.5.0.cellPVmodule.2310,787.4660666666667,168.05023333333332,0.21340604635656296
0.04325049,-0.2659863,1.28072,1.256427,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,787.8431666666667,172.24503333333334,0.218628303186015
-0.003940802,-0.2659863,1.347273,1.322979,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,788.1639666666666,173.36,0.21995395295629527
-0.0511321,-0.2659863,1.413825,1.389531,a2.1.a3.7.0.cellPVmodule.6457,a2.1.a3.7.0.cellPVmodule.2310,788.4847666666666,182.62683333333334,0.23161715918524511
0.4679722,-0.08866211,0.6817517,0.6574577,a2.1.a4.0.0.cellPVmodule.6457,a2.1.a4.0.0.cellPVmodule.2310,782.8705333333334,219.88970000000003,0.2808758405913001
0.4207809,-0.08866211,0.7483038,0.7240098,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,783.8791333333332,215.13413333333332,0.2744477429457327
