,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_1axis_2021-01-01_0600.csv,0.1540594649039276,0.15405721692334431,0.08353986893565656,0.08353986868894449,0.0014591642160297624,2.95322550414312e-07,2330904495.585812,2419016656.7448626,5.433115767542149e+18,5.851641585609092e+18,4.02009275,2.959189083333333,1.0609036666666667,0.35851161814628896,0.01775635891086381,3.998144466666666,4.095735666666666,4.0135156,3.931480333333334,4.091291866666666,4.013582666666666,3.8932672,4.0934174,4.006404133333334,3.9385288000000003,4.100970333333333,4.064774533333333,2.9579236666666664,2.958077,2.958460666666667,2.958613666666667,2.958767333333333,2.9591506666666665,2.959304,2.9594576666666668,2.9598406666666666,2.9599946666666668,2.9601476666666664,2.9605313333333334,1.0402208,1.1376586666666668,1.0550549333333334,0.9728666666666668,1.1325245333333334,1.054432,0.9339632,1.1339597333333333,1.0465634666666668,0.9785341333333335,1.1408226666666665,1.1042432
irr_1axis_2021-01-01_0700.csv,48.505637584223805,48.21993551006514,40.53435921690722,40.33551612494536,0.5890079759545017,0.4905544229719112,55331643.97119421,49620420.159067795,3061590824554992.5,2462186096762421.5,169.3506932222222,144.26173055555554,25.08896266666667,0.1739128081303922,0.027492091684020507,169.41828666666666,167.6323933333333,176.67303866666666,165.27113599999998,166.806984,174.6640613333333,165.3666,165.27727199999998,175.35078933333335,164.849964,166.0111533333333,174.88664,144.93783333333332,140.80976666666666,148.40403333333333,144.63246666666666,140.52493333333334,147.81886666666665,144.48646666666667,139.45086666666666,148.14846666666668,144.13516666666666,140.08863333333332,147.70326666666668,24.480453333333337,26.822626666666665,28.269005333333332,20.638669333333336,26.28205066666667,26.845194666666664,20.880133333333333,25.826405333333334,27.20232266666667,20.714797333333337,25.922520000000006,27.183373333333336
irr_1axis_2021-01-01_0800.csv,201.52184825675334,201.36627751225544,172.9851660590692,172.89404590070308,0.07719795438740107,0.052675128418258055,14724833.174334295,13016555.050139545,216820712011975.78,169430705373313.28,636.3706911111111,549.9402611111112,86.43043,0.15716330683877205,0.008731277833237598,642.7901333333333,642.93704,633.1951426666667,634.2851,643.8952533333334,631.19902,633.7112333333332,641.5667066666667,630.4351346666667,631.43498,641.0802,629.9183493333333,550.9796,545.4218666666667,554.7826333333334,550.6495,546.744,555.5649666666667,550.3048333333332,545.0722000000001,553.7651000000001,548.9895666666666,544.4202,552.5886666666667,91.81053333333334,97.51517333333335,78.41250933333335,83.63560000000001,97.15125333333334,75.63405333333336,83.4064,96.49450666666667,76.67003466666665,82.44541333333333,96.66000000000001,77.32968266666666
irr_1axis_2021-01-01_0900.csv,325.4712274388161,324.3263340537465,275.83053366445,275.8206823352349,0.3517648530959008,0.0035715151199013917,9248992.393952938,8306247.459496503,85543860303399.3,68993746858392.11,1013.132227222222,861.8004361111111,151.3317911111111,0.1755995759227024,0.02026520336732212,1021.7093133333333,1041.6309266666665,997.9547666666667,1000.1388133333332,1037.5021000000002,996.3726533333332,994.5674866666668,1036.3471533333334,990.7875200000001,1009.6529066666667,1038.60636,992.3167266666667,862.5911,860.3128999999999,864.5707666666667,862.8136666666666,859.6502333333334,864.2037999999999,860.8122333333334,858.7959000000001,863.3394666666667,862.1705333333333,859.9694,862.3752333333333,159.11821333333336,181.31802666666667,133.384,137.32514666666665,177.85186666666667,132.16885333333332,133.75525333333334,177.5512533333333,127.44805333333335,147.48237333333336,178.63696000000002,129.9414933333333
irr_1axis_2021-01-01_1000.csv,402.61900783679783,400.29938442584523,332.58213338469767,332.5800444547371,0.5761336066609459,0.0006280944617600426,7494889.374944128,6917293.440233711,56173366742650.38,47848948538300.33,1250.2455733333334,1034.8451666666667,215.40040666666664,0.20814747326935057,0.028428772091212227,1236.8511600000004,1298.1579466666667,1229.3705466666665,1220.3964933333334,1298.6995466666667,1229.1312533333335,1220.45504,1294.5823599999999,1224.36688,1221.7809466666668,1300.33348,1228.821226666667,1034.5843333333337,1034.128,1035.135,1035.3983333333333,1034.172,1035.1313333333335,1035.246,1034.177,1035.754,1035.461,1034.6023333333333,1034.352666666667,202.26682666666665,264.02994666666666,194.23554666666666,184.99816,264.52754666666664,193.99992,185.20904000000002,260.40536000000003,188.61288000000002,186.3199466666667,265.7311466666667,194.46856000000002
irr_1axis_2021-01-01_1100.csv,439.15545257531915,435.7376682508057,349.89692439095154,349.89668454205344,0.7782629828391379,6.854844424708517e-05,6872645.817643557,6580372.136028585,47233260534773.47,43301297448621.41,1363.4417533333333,1087.8302222222221,275.61153111111116,0.25335895756609084,0.032875762814892844,1336.7790666666667,1423.16136,1346.07868,1319.1214800000002,1422.0955733333333,1344.6083733333335,1318.0308133333335,1420.6538799999998,1336.3589866666666,1322.3731733333334,1424.6734266666665,1347.3662266666663,1088.036,1088.388,1088.065,1088.3916666666669,1089.004,1088.1566666666668,1086.8096666666668,1087.899,1087.042,1087.228,1087.8149999999998,1087.1276666666663,248.74306666666666,334.77336,258.01368,230.72981333333337,333.0915733333334,256.45170666666667,231.22114666666667,332.75488,249.3169866666667,235.1451733333333,336.8584266666667,260.23856
irr_1axis_2021-01-01_1200.csv,453.8646077522406,451.5631394374089,350.5789777602126,350.5789704955339,0.507082569453857,2.072194618563117e-06,6649116.980855266,6567773.38593585,44210756625097.84,43135647249007.266,1409.2776966666668,1089.9169722222223,319.36072444444443,0.2930138098439761,0.02625119306784723,1389.7176933333335,1456.6678533333331,1382.3844,1373.5989066666666,1453.9214933333335,1382.9935333333333,1377.7876666666666,1455.7660666666666,1389.3846133333334,1376.426386666667,1465.0983066666668,1407.58544,1090.8336666666669,1090.7123333333332,1089.5393333333334,1089.9599999999998,1090.5806666666667,1089.5043333333333,1089.3536666666666,1090.1456666666666,1089.5333333333333,1089.6850000000002,1089.593,1089.5626666666667,298.88402666666667,365.95552,292.84506666666664,283.6389066666667,363.3408266666667,293.4892,288.434,365.6204,299.85128000000003,286.74138666666676,375.5053066666667,318.02277333333336
irr_1axis_2021-01-01_1300.csv,456.49921705432,454.6469771487481,346.81725360063507,346.8172536517377,0.40574875845878466,-1.4734737874277926e-08,6610579.383009132,6637894.618625277,43699759779065.4,44061644967974.41,1417.4933422222223,1078.4033333333334,339.0900088888889,0.31443709269774345,0.023722137140341014,1400.9265333333333,1460.7672533333334,1393.9254933333332,1389.9980266666664,1456.7708666666665,1390.3296133333336,1387.5087600000002,1462.0815066666669,1394.1950533333334,1395.6990666666666,1469.5239866666666,1408.1939466666668,1078.33,1078.338,1078.3913333333333,1078.399333333333,1078.407,1078.461,1078.469,1078.477,1078.5303333333334,1078.3513333333333,1078.3476666666666,1078.338,322.59653333333335,382.42925333333335,315.53416000000004,311.59869333333336,378.36386666666664,311.8686133333335,309.03976,383.60450666666674,315.66472,317.3477333333333,391.17632000000003,329.85594666666674
irr_1axis_2021-01-01_1400.csv,456.4594962581354,455.0465156237129,348.4903376808141,348.4901797009146,0.30955224855776464,4.5332648397788944e-05,6611156.964792695,6606517.399662244,43707396413126.96,43646072152039.98,1417.3695033333333,1083.525138888889,333.8443644444444,0.30810947753993806,0.01951281468420157,1415.1447466666666,1448.4193866666667,1386.27408,1397.4557066666666,1449.7521733333333,1385.4944400000002,1406.1480933333332,1450.3151466666668,1388.882066666667,1407.6291199999998,1460.64772,1412.2713600000002,1083.3793333333333,1083.3293333333334,1083.3266666666666,1083.2766666666666,1083.2263333333333,1083.2236666666668,1083.6229999999998,1083.256,1083.7790000000002,1083.9533333333331,1083.9936666666665,1083.9346666666668,331.76541333333336,365.09005333333334,302.94741333333326,314.17904,366.52584,302.27077333333335,322.52509333333336,367.05914666666666,305.10306666666673,323.6757866666667,376.65405333333337,328.33669333333336
irr_1axis_2021-01-01_1500.csv,446.70172600409444,445.69511410772293,351.10049489210166,351.09933901240834,0.22534318489790905,0.00032921619597914287,6756119.051295265,6558174.72262353,45645144635274.83,43009655692458.21,1386.9578366666665,1091.5121944444445,295.4456422222222,0.27067553044846876,0.015902410217685774,1393.6688266666665,1411.7327066666667,1366.1329866666665,1380.7513466666667,1410.0452266666666,1353.5229066666668,1380.1013066666667,1409.2647333333332,1359.7942266666666,1390.5785466666666,1418.19724,1369.7039866666667,1091.2346666666665,1091.167,1092.0393333333332,1091.241,1090.8126666666667,1091.7813333333334,1091.4793333333334,1091.5496666666666,1093.115,1091.6456666666666,1091.6256666666666,1090.455,302.43416,320.56570666666664,274.09365333333335,289.5103466666667,319.23256000000003,261.7415733333334,288.6219733333333,317.71506666666664,266.67922666666664,298.93288,326.57157333333333,279.24898666666667
irr_1axis_2021-01-01_1600.csv,425.49947381002767,425.036124403275,347.4698599231692,347.4688999268934,0.1088954123970467,0.0002762818841404169,7093995.231603524,6625619.415930804,50324768346013.53,43898832644759.25,1320.899148888889,1080.4012777777778,240.49787111111118,0.22260050599512338,0.009934390550053383,1331.0030000000002,1336.5910933333334,1311.804973333333,1315.5393733333333,1333.9391733333339,1298.83484,1314.05436,1332.9872133333338,1304.3968266666666,1317.4469866666666,1337.6671733333333,1316.5247733333333,1080.9923333333334,1080.852,1081.0696666666663,1080.539,1080.5560000000005,1079.7776666666666,1079.5176666666666,1079.6703333333337,1079.6,1080.6246666666666,1081.4946666666665,1080.1213333333333,250.01066666666668,255.73909333333336,230.73530666666667,235.00037333333336,253.3831733333333,219.05717333333337,234.53669333333335,253.31688,224.79682666666668,236.82232,256.17250666666666,236.40344000000002
