x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;315969,6483;105017,8486;0,332366887
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;316004,6564;102081,1962;0,323036999
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;316039,8117;98037,27074;0,310205445
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;316074,6518;93364,40853;0,295387206
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;316074,9215;91423,02202;0,289244782
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;316078,5645;94589,41216;0,299259179
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;316063,1289;97692,95706;0,309093177
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;316065,381;91182,73307;0,288493262
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;316066,0891;91300,10043;0,288863954
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;316030,7008;97546,54918;0,308661623
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;316006,8602;101834,2471;0,322253279
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;316007,025;105987,3788;0,33539564
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;315954,8905;104266,1524;0,330003286
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;315986,0233;101041,2547;0,319764948
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;316011,0912;95836,98102;0,30327094
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;316027,1955;90723,57143;0,287075202
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;316036,6759;87214,1147;0,275962004
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;316039,1112;87756,34629;0,277675588
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;316037,2141;89919,37021;0,284521461
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;316029,2772;86348,21435;0,273228528
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;316016,4711;88872,90187;0,281228701
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;316015,1562;95794,41277;0,303132336
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;316004,5122;100892,6225;0,319275891
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;315984,6511;105256,287;0,333105695
0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.0.0.cellPVmodule.6457;a2.1.a3.0.0.cellPVmodule.2310;315945,1553;103621,5656;0,327973269
0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;315975,1853;100470,5146;0,317969635
0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;315987,0794;95815,2215;0,303225124
0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.2.0.cellPVmodule.6457;a2.1.a3.2.0.cellPVmodule.2310;316004,2797;90186,80564;0,285397418
0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;316018,7463;86371,32017;0,273310748
0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;316018,3722;86850,64098;0,274827821
-0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;316015,6061;88617,9017;0,280422548
-0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;316000,7686;85311,41069;0,269972161
-0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.5.0.cellPVmodule.6457;a2.1.a3.5.0.cellPVmodule.2310;315990,726;87657,26783;0,277404558
-0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;315989,0082;94890,11934;0,300295632
-0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;315982,8506;100139,5064;0,31691437
-0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.7.0.cellPVmodule.6457;a2.1.a3.7.0.cellPVmodule.2310;315962,8566;104756,3568;0,331546428
0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.0.0.cellPVmodule.6457;a2.1.a4.0.0.cellPVmodule.2310;315911,4207;103535,2131;0,327734947
0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;315952,8973;100266,6444;0,31734681
0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;315992,3011;95347,42105;0,301739696
0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.2.0.cellPVmodule.6457;a2.1.a4.2.0.cellPVmodule.2310;316032,0107;89535,37372;0,28331109
0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;316015,1701;85846,89463;0,271654346
0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;316012,7722;86671,42228;0,274265567
-0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;316022,3244;87973,80615;0,278378453
-0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;316030,1437;85014,54763;0,269007717
-0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.5.0.cellPVmodule.6457;a2.1.a4.5.0.cellPVmodule.2310;316024,2856;87761,40296;0,277704615
-0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;315992,8306;94879,3168;0,300257814
-0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;315975,7513;99753,42609;0,315699624
-0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.7.0.cellPVmodule.6457;a2.1.a4.7.0.cellPVmodule.2310;315947,5122;104584,5829;0,331018851
0,448720432;0,088662105;1,1555;1,1135;a2.1.a6.0.0.cellPVmodule.6457;a2.1.a6.0.0.cellPVmodule.2310;315908,7484;103643,5272;0,328080585
0,367134899;0,088662105;1,1555;1,1135;a2.1.a6.1.0.cellPVmodule.6457;a2.1.a6.1.0.cellPVmodule.2310;315936,8983;100362,9616;0,317667743
