x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.5133492,-0.6206347,0.8442963,0.8102531,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,1061.0266666666666,390.05333333333334,0.367618437847835
0.4472198,-0.6206347,0.8920782,0.8580349,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,1060.9426666666668,374.0906,0.3526017561095766
0.3810904,-0.6206347,0.93986,0.9058167,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,1060.866,342.75050000000005,0.32308526893569134
0.314961,-0.6206347,0.9876418,0.9535985,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,1060.7896666666668,311.76140000000004,0.2938953082794846
0.2488316,-0.6206347,1.035424,1.00138,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,1060.7126666666666,275.7002,0.25991953216403674
0.1827022,-0.6206347,1.083205,1.049162,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,1060.6363333333331,267.5287,0.252233908417329
0.1165728,-0.6206347,1.130987,1.096944,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,1062.3753333333334,328.8227,0.3095162134949668
0.05044337,-0.6206347,1.178769,1.144726,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,1062.4040000000002,304.8729333333333,0.2869648894097197
-0.01568604,-0.6206347,1.226551,1.192508,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,1062.4406666666666,284.96139999999997,0.2682136901633815
-0.08181544,-0.6206347,1.274333,1.240289,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,1062.4776666666667,292.9809666666667,0.27575232883107303
-0.1479448,-0.6206347,1.322114,1.288071,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,1062.5143333333333,292.1415666666667,0.27495280068115097
-0.2140742,-0.6206347,1.369896,1.335853,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,1062.5506666666668,319.96396666666664,0.3011279137798789
0.5133492,-0.4433105,0.8442963,0.8102531,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,1061.3493333333333,388.9240333333333,0.3664426543419059
0.4472198,-0.4433105,0.8920782,0.8580349,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,1061.3483333333334,372.95480000000003,0.35139683823861956
0.3810904,-0.4433105,0.93986,0.9058167,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,1061.5146666666667,341.82863333333336,0.32201939553726167
0.314961,-0.4433105,0.9876418,0.9535985,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,1061.728,313.8196666666667,0.2955741688007643
0.2488316,-0.4433105,1.035424,1.00138,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,1062.0066666666667,268.83413333333334,0.25313765782607345
0.1827022,-0.4433105,1.083205,1.049162,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,1062.2983333333332,264.6430666666667,0.24912287748148834
0.1165728,-0.4433105,1.130987,1.096944,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,1062.3346666666666,313.8337666666667,0.2954186482803458
0.05044337,-0.4433105,1.178769,1.144726,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,1062.3716666666667,288.808,0.2718518736990598
-0.01568604,-0.4433105,1.226551,1.192508,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,1062.4086666666667,287.8482333333334,0.270939019442908
-0.08181544,-0.4433105,1.274333,1.240289,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,1062.445,302.8054333333333,0.28500783412364805
-0.1479448,-0.4433105,1.322114,1.288071,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,1062.4816666666666,310.1279333333334,0.29188987553679313
-0.2140742,-0.4433105,1.369896,1.335853,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,1062.5186666666666,317.45046666666667,0.29877137960426775
0.5133492,-0.2659863,0.8442963,0.8102531,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,1061.6786666666667,385.29563333333334,0.3629113803630034
0.4472198,-0.2659863,0.8920782,0.8580349,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,1061.6026666666667,369.0252333333333,0.34761111412890744
0.3810904,-0.2659863,0.93986,0.9058167,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,1061.666,334.09203333333335,0.3146862748237756
0.314961,-0.2659863,0.9876418,0.9535985,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,1061.959,308.8943,0.29087187841349954
0.2488316,-0.2659863,1.035424,1.00138,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,1062.229,255.51543333333333,0.24054624077020356
0.1827022,-0.2659863,1.083205,1.049162,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,1062.2656666666667,235.9659,0.22213433538345675
0.1165728,-0.2659863,1.130987,1.096944,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,1062.3026666666667,311.6225,0.29334597043971417
0.05044337,-0.2659863,1.178769,1.144726,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,1062.3393333333333,288.3560333333333,0.27143470344249376
-0.01568604,-0.2659863,1.226551,1.192508,a2.1.a3.5.0.cellPVmodule.6457,a2.1.a3.5.0.cellPVmodule.2310,1062.376,278.21176666666673,0.26187668470483333
-0.08181544,-0.2659863,1.274333,1.240289,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,1062.4126666666668,287.0391333333334,0.2701764315908336
-0.1479448,-0.2659863,1.322114,1.288071,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,1062.4496666666666,286.3675666666666,0.26953493056305045
-0.2140742,-0.2659863,1.369896,1.335853,a2.1.a3.7.0.cellPVmodule.6457,a2.1.a3.7.0.cellPVmodule.2310,1062.1933333333334,316.1474666666666,0.2976361827073074
0.5133492,-0.08866211,0.8442963,0.8102531,a2.1.a4.0.0.cellPVmodule.6457,a2.1.a4.0.0.cellPVmodule.2310,1061.6166666666668,383.4808,0.36122307685786437
0.4472198,-0.08866211,0.8920782,0.8580349,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,1061.6196666666665,365.3963333333333,0.34418728346785515
0.3810904,-0.08866211,0.93986,0.9058167,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,1061.6306666666667,346.33276666666666,0.3262268614820897
0.314961,-0.08866211,0.9876418,0.9535985,a2.1.a4.2.0.cellPVmodule.6457,a2.1.a4.2.0.cellPVmodule.2310,1061.6416666666667,292.2365,0.27526823212330076
0.2488316,-0.08866211,1.035424,1.00138,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,1061.697,265.32713333333334,0.24990829156062588
0.1827022,-0.08866211,1.083205,1.049162,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,1062.218,271.73909999999995,0.25582210448127923
0.1165728,-0.08866211,1.130987,1.096944,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,1062.218,297.2806333333333,0.279867553991534
0.05044337,-0.08866211,1.178769,1.144726,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,1062.2086666666667,290.9053666666667,0.27386812208135936
-0.01568604,-0.08866211,1.226551,1.192508,a2.1.a4.5.0.cellPVmodule.6457,a2.1.a4.5.0.cellPVmodule.2310,1062.1866666666667,284.6043333333333,0.2679416663031611
-0.08181544,-0.08866211,1.274333,1.240289,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,1062.1713333333335,281.00770000000006,0.2645594233453015
-0.1479448,-0.08866211,1.322114,1.288071,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,1062.1616666666666,300.2159,0.28264587847184736
-0.2140742,-0.08866211,1.369896,1.335853,a2.1.a4.7.0.cellPVmodule.6457,a2.1.a4.7.0.cellPVmodule.2310,1062.1526666666666,310.2817333333333,0.2921250879894654
0.5133492,0.08866211,0.8442963,0.8102531,a2.1.a6.0.0.cellPVmodule.6457,a2.1.a6.0.0.cellPVmodule.2310,1061.5406666666668,384.78136666666666,0.36247410605644304
0.4472198,0.08866211,0.8920782,0.8580349,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,1061.5516666666667,365.71133333333336,0.34450606627148034
0.3810904,0.08866211,0.93986,0.9058167,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,1061.5626666666667,336.51466666666664,0.3169990432352777
0.314961,0.08866211,0.9876418,0.9535985,a2.1.a6.2.0.cellPVmodule.6457,a2.1.a6.2.0.cellPVmodule.2310,1061.5736666666667,306.08656666666667,0.28833258392250005
0.2488316,0.08866211,1.035424,1.00138,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,1061.5846666666666,258.02819999999997,0.2430592349745993
0.1827022,0.08866211,1.083205,1.049162,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,1062.6989999999998,243.69656666666666,0.22931830871051725
0.1165728,0.08866211,1.130987,1.096944,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,1062.6776666666667,311.9839,0.29358253796381223
0.05044337,0.08866211,1.178769,1.144726,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,1062.6166666666668,292.5029333333333,0.275266394027579
-0.01568604,0.08866211,1.226551,1.192508,a2.1.a6.5.0.cellPVmodule.6457,a2.1.a6.5.0.cellPVmodule.2310,1062.537,286.8112,0.2699302989634253
-0.08181544,0.08866211,1.274333,1.240289,a2.1.a6.6.0.cellPVmodule.6457,a2.1.a6.6.0.cellPVmodule.2310,1062.4286666666667,284.52736666666664,0.2678081905970873
-0.1479448,0.08866211,1.322114,1.288071,a2.1.a6.6.0.cellPVmodule.6457,a2.1.a6.6.0.cellPVmodule.2310,1062.261,284.3887,0.26771992220375007
-0.2140742,0.08866211,1.369896,1.335853,a2.1.a6.7.0.cellPVmodule.6457,a2.1.a6.7.0.cellPVmodule.2310,1062.1196666666667,314.8747333333333,0.2964585317048094
0.5133492,0.2659863,0.8442963,0.8102531,a2.1.a7.0.0.cellPVmodule.6457,a2.1.a7.0.0.cellPVmodule.2310,1061.6583333333335,387.9478666666667,0.365416527209921
0.4472198,0.2659863,0.8920782,0.8580349,a2.1.a7.1.0.cellPVmodule.6457,a2.1.a7.1.0.cellPVmodule.2310,1062.026,372.4439666666667,0.35069161769584645
0.3810904,0.2659863,0.93986,0.9058167,a2.1.a7.1.0.cellPVmodule.6457,a2.1.a7.1.0.cellPVmodule.2310,1062.3066666666666,338.8743,0.31899826258745506
0.314961,0.2659863,0.9876418,0.9535985,a2.1.a7.2.0.cellPVmodule.6457,a2.1.a7.2.0.cellPVmodule.2310,1062.586,306.51683333333335,0.28846281135881896
0.2488316,0.2659863,1.035424,1.00138,a2.1.a7.3.0.cellPVmodule.6457,a2.1.a7.3.0.cellPVmodule.2310,1062.9003333333333,263.5135333333333,0.2479190918943872
