x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;257183,5673;82209,27453;0,319652127
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;257219,0423;79953,95711;0,31083996
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;257254,8322;76955,66863;0,29914178
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;257290,6928;72525,86455;0,281882969
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;257286,8551;70793,01181;0,275152073
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;257280,4812;72462,61357;0,281648312
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;257290,2141;74656,31387;0,290163829
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;257293,5368;70071,71305;0,27234152
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;257286,0344;70752,89105;0,274997012
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;257237,1063;75814,03279;0,294724325
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;257202,3463;79281,29342;0,308244828
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;257199,1372;82807,02634;0,321956858
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;257180,0159;81715,29311;0,317735779
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;257211,4728;79234,93544;0,308053658
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;257241,9852;75252,51406;0,292535893
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;257263,2664;70977,8471;0,275895769
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;257276,2857;67882,78772;0,263851708
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;257281,8607;68661,22581;0,266871615
