x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4845935,-0.6206347,0.721676,0.6946004,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,975.8868666666667,282.92893333333336,0.28991951124439297
0.4319987,-0.6206347,0.7840458,0.7569702,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,976.2784666666666,275.9099333333333,0.28261368056359815
0.379404,-0.6206347,0.8464156,0.81934,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,976.6695,268.89140000000003,0.27531434603584326
0.3268093,-0.6206347,0.9087854,0.8817098,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,977.0604999999999,261.8728333333333,0.2680208291221518
0.2742146,-0.6206347,0.9711553,0.9440796,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,976.3909333333332,209.29909999999998,0.2143597185256003
0.2216198,-0.6206347,1.033525,1.006449,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,976.5695,194.90263333333334,0.19957866158493764
0.1690251,-0.6206347,1.095895,1.068819,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,976.7483333333333,239.46966666666665,0.2451700333896653
0.1164304,-0.6206347,1.158265,1.131189,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,976.9271666666667,217.16323333333332,0.22229191535576906
0.06383566,-0.6206347,1.220635,1.193559,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,977.1059666666666,206.56756666666664,0.21140732152525504
0.01124094,-0.6206347,1.283004,1.255929,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,976.6558333333334,199.39583333333334,0.20416161186605805
-0.04135379,-0.6206347,1.345374,1.318299,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,976.7714333333333,210.40296666666666,0.2154063315941929
-0.09394851,-0.6206347,1.407744,1.380668,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,976.8872333333333,215.10993333333332,0.22019912410996728
0.4845935,-0.4433105,0.721676,0.6946004,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,975.668,280.7149,0.28771530098834747
0.4319987,-0.4433105,0.7840458,0.7569702,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,976.0553,273.6963,0.28041036157442967
0.379404,-0.4433105,0.8464156,0.81934,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,976.3552666666668,266.03999999999996,0.2724825036544037
0.3268093,-0.4433105,0.9087854,0.8817098,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,976.5567000000001,248.553,0.2545195230143595
0.2742146,-0.4433105,0.9711553,0.9440796,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,976.6855,197.26806666666667,0.20197685405364635
0.2216198,-0.4433105,1.033525,1.006449,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,976.6764,178.55403333333334,0.18281782022736817
0.1690251,-0.4433105,1.095895,1.068819,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,976.6276333333332,219.51933333333332,0.22477257561463404
0.1164304,-0.4433105,1.158265,1.131189,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,976.5347333333333,201.7768,0.20662510660132186
0.06383566,-0.4433105,1.220635,1.193559,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,976.3648666666667,197.4555333333333,0.2022351867005046
0.01124094,-0.4433105,1.283004,1.255929,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,976.4806333333332,189.16846666666666,0.1937245517060246
-0.04135379,-0.4433105,1.345374,1.318299,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,976.5963999999999,208.59653333333333,0.21359521675291512
-0.09394851,-0.4433105,1.407744,1.380668,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,976.7121333333333,214.51363333333333,0.2196280832236173
0.4845935,-0.2659863,0.721676,0.6946004,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,975.3322666666667,277.98706666666664,0.28501751777289935
0.4319987,-0.2659863,0.7840458,0.7569702,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,976.0048666666667,270.70523333333335,0.2773602522061343
0.379404,-0.2659863,0.8464156,0.81934,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,976.5722999999999,263.38433333333336,0.26970257463861996
0.3268093,-0.2659863,0.9087854,0.8817098,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,976.8014333333332,237.8622,0.24351106414456453
