,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_1axis_2021-06-01_0800.csv,0.01715227136597663,0.017152270786530602,0.0,0.0,3.3782466317688886e-06,,1309798260.8881128,1461916196.3591092,1.7155714842255247e+18,2.1371989651770854e+18,1.3399402299999998,0.9870056277777778,0.3529346022222222,0.3575811447163143,0.014727098223783031,1.3318744266666669,1.3679083866666666,1.3369211666666667,1.3155122666666665,1.3631700333333334,1.332085,1.3160006599999998,1.3633338866666667,1.3338038333333333,1.3176975199999998,1.3637879066666665,1.3371876733333334,0.9871466666666668,0.9870975333333334,0.9871189,0.9870697333333333,0.9870205666666668,0.9870419333333332,0.9869927666666666,0.9869437,0.9869650333333334,0.9869158666666666,0.9868667333333332,0.9868881,0.34472776000000005,0.3808108533333333,0.3498022666666667,0.3284425333333334,0.37614946666666665,0.34504306666666673,0.3290078933333333,0.3763901866666667,0.34683879999999995,0.3307816533333333,0.37692117333333336,0.3502995733333334
irr_1axis_2021-06-01_0900.csv,63.08052918838903,62.8752077849655,56.238256496746345,56.145809569206904,0.3254909336767611,0.16438441249469804,8172991.039427137,7456406.979988914,66797782530556.27,55598005051227.4,214.7379551111111,193.51405,21.22390511111111,0.10967630056376326,0.019718973473494012,211.869864,212.1912586666666,220.0573826666666,210.87557999999999,212.09135866666665,219.48574266666665,210.80875066666664,212.50822533333331,219.51109866666667,212.35372133333328,212.80498133333336,222.29749733333335,193.53346666666667,190.3567333333333,196.57763333333327,193.66983333333332,190.39816666666664,196.60823333333332,193.5982333333333,190.38896666666665,196.29066666666668,193.93116666666663,190.431,196.3845,18.336397333333334,21.834525333333332,23.479749333333334,17.205746666666666,21.693192,22.877509333333332,17.210517333333335,22.119258666666667,23.220432000000002,18.422554666666667,22.373981333333337,25.912997333333337
irr_1axis_2021-06-01_1000.csv,174.77810530833054,174.41712232010553,152.1040976935017,152.0728722323322,0.20653787703453474,0.0205290072016453,3160230.9789497997,2965121.53305387,9987059840314.01,8791945705779.731,555.3554137777778,486.63081666666676,68.72459711111111,0.14122532884756908,0.014151087158085158,555.4148386666667,564.4856866666667,544.5668666666668,549.1843986666667,563.6186773333334,545.8921133333333,550.07798,565.0539666666666,547.5146440000001,556.5158693333333,565.2080866666666,556.7318373333333,486.1102333333333,483.8151,488.4090000000001,486.3977,483.71866666666665,489.8385,486.8477666666667,484.79676666666666,488.6095,486.7225333333333,484.3675,489.9365333333333,69.30460533333336,80.67058666666667,56.15786666666667,62.786698666666666,79.90001066666667,56.053613333333345,63.23021333333334,80.25720000000001,58.90514400000001,69.793336,80.84058666666667,66.795304
irr_1axis_2021-06-01_1100.csv,215.30319469793366,214.10974561907136,178.92538177732902,178.9232381648157,0.5543109012091918,0.0011980483104281348,2588392.3965552365,2540758.8107468947,6699775198544.961,6455455334387.975,678.0468777777778,567.9088888888889,110.13798888888887,0.19393601868844373,0.02649921626058683,663.9734933333333,701.5480733333334,665.6300266666667,663.1222733333334,703.14458,663.5594266666667,661.7564133333333,700.9505866666667,664.7343866666666,667.8163866666666,700.6202333333334,679.7066533333334,567.9682666666666,567.5557,568.5005333333334,567.9725666666667,567.4391666666667,568.7275333333333,567.2820666666667,567.6222666666667,568.4534,567.6102,567.4167666666667,568.3582,96.00522666666666,133.99237333333335,97.12949333333331,95.14970666666667,135.70541333333333,94.83189333333335,94.47434666666666,133.32832,96.28098666666666,100.2061866666667,133.20346666666669,111.34845333333334
irr_1axis_2021-06-01_1200.csv,211.35193922216115,209.70114938645696,164.95356110033828,164.9531919677613,0.7810620720016033,0.00022377969563081024,2634742.545168094,2745008.166561707,6941868279318.845,7535069834490.464,666.1187394444445,525.652175,140.46656444444446,0.26722340575199643,0.0309219855080555,646.1254333333334,692.3864733333332,657.7306533333333,646.4701666666666,693.4517133333334,659.7706133333334,644.4934600000001,691.9803933333334,658.07918,643.4532200000001,690.8631266666666,668.62044,525.0002333333333,524.8024999999999,525.713,525.2573666666666,524.7711,525.7836,525.1157000000001,526.5490333333333,525.8543,526.6387666666667,526.6835,525.657,121.1252,167.58397333333332,132.01765333333333,121.2128,168.68061333333335,133.98701333333332,119.37776000000002,165.43136,132.22488,116.81445333333335,164.17962666666665,142.96344
irr_1axis_2021-06-01_1300.csv,183.8410302263479,183.2385080316296,136.04499505729592,136.04500048960685,0.32774087154345466,-3.993025188719912e-06,3011535.9262365936,3294224.1392438714,9069348635013.697,10851912679577.025,582.7761733333334,438.0149777777778,144.7611955555556,0.3304937111739559,0.018945960444149652,572.3280133333334,598.43618,579.50232,572.6357866666666,597.2267,577.6092666666666,570.51106,597.0712800000001,575.9346800000001,574.06494,595.4262333333334,582.56762,437.963,437.9629,437.99146666666667,437.9913333333333,437.99123333333335,438.0198,438.0197,438.0196,438.0482,438.0480333333333,438.0479666666667,438.0765,134.36501333333334,160.47328000000002,141.51085333333333,134.64445333333333,159.2354666666667,139.58946666666668,132.49136000000001,159.05168000000003,137.88648,136.01690666666667,157.37826666666666,144.49112000000002
irr_1axis_2021-06-01_1400.csv,129.08657212333813,128.59974160082643,94.96312923408745,94.9623964431103,0.3771349060586573,0.0007716584142229976,4210398.302049299,4611342.122707182,17727453861899.617,21264476172653.574,416.8373766666668,312.9066277777777,103.93074888888889,0.3321462048502826,0.0199375751711189,420.1064133333333,427.30985333333336,410.0221266666666,410.12082,426.32474,407.24861333333337,415.18506,427.0087733333334,406.04189333333335,415.75872666666663,426.72852666666665,410.19297333333327,312.82286666666664,313.1104666666667,312.6937,312.9813,313.26890000000003,312.2402666666667,312.73196666666666,313.23240000000004,312.63173333333333,313.09736666666663,313.2629,312.80566666666664,107.28354666666667,114.19938666666667,97.32842666666666,97.13952,113.05583999999999,95.00834666666667,102.45309333333333,113.77637333333335,93.41016,102.66136,113.46562666666667,97.38730666666666
irr_1axis_2021-06-01_1500.csv,117.54518651835834,117.08401904649118,87.90326481756749,87.8848303646199,0.3923320771583718,0.02097129496367245,4596799.33739235,4953990.916838449,21130564148250.746,24542026004117.86,381.79856333333333,291.2640611111111,90.53450222222223,0.310833069747267,0.02068191065716787,381.3154866666667,390.89364666666665,373.30998,386.69867999999997,392.07133333333337,370.62872000000004,376.2016133333334,390.20087333333333,374.4278933333334,378.1308466666667,390.86680666666666,376.83688,292.2653,293.0989,289.4039,291.3594,293.22,289.33840000000004,290.70300000000003,292.15156666666667,289.85880000000003,291.3157,292.3833666666667,290.0704,89.05018666666666,97.79474666666665,83.90607999999999,95.33928,98.85133333333334,81.29032000000001,85.49861333333335,98.04930666666667,84.56909333333334,86.81514666666666,98.48344,86.76648
irr_1axis_2021-06-01_1600.csv,92.60385332640779,92.14696669258984,71.26771102128414,71.22022688247289,0.49337756195470206,0.06662784328385385,5741675.685961553,6009303.750478751,32966839682762.07,36111731565517.984,305.6688463333333,240.1142583333333,65.55458800000001,0.2730141410802656,0.023025435901002672,303.83222266666667,313.37209999999993,298.90979200000004,306.270704,313.44868933333333,296.8992226666667,301.978832,313.8241693333333,297.0828826666667,310.11366133333337,314.0413053333333,298.25257466666665,239.83423333333332,242.0954333333333,237.7306,240.07153333333332,242.3108333333333,237.8333,240.5158,242.67816666666667,238.013,240.63486666666668,242.81483333333333,236.8385,63.99798933333333,71.27666666666666,61.179192,66.19917066666667,71.13785600000001,59.065922666666665,61.46303199999999,71.14600266666666,59.06988266666667,69.47879466666667,71.226472,61.414074666666664
irr_1axis_2021-06-01_1700.csv,46.0754011996365,45.2446002309122,35.32620877916398,35.18742970408771,1.8031334445132359,0.39285018084963497,10852526.509377902,11294520.745860292,117777331636750.12,127566198878668.52,161.71823044444443,127.7539388888889,33.964291555555555,0.26585709881787073,0.04392375567662894,163.41062266666668,169.83465733333335,153.16957333333335,163.09819866666666,169.57508266666665,151.94103733333333,162.36488000000003,169.16769466666665,152.59838399999998,161.88508266666668,169.3647586666667,154.20879333333332,128.27763333333334,130.70303333333334,124.57106666666668,128.17016666666666,130.91733333333332,123.9576,128.5068666666667,130.35056666666665,124.22133333333332,127.885,130.34383333333335,125.14283333333331,35.132989333333335,39.13162400000001,28.59850666666667,34.928032,38.65774933333333,27.983437333333338,33.85801333333333,38.817128000000004,28.37705066666667,34.00008266666667,39.02092533333334,29.065960000000004
irr_1axis_2021-06-02_0800.csv,0.06860839801362745,0.06860818871800464,0.037280022543283144,0.03728002254603376,0.00030505831482230406,-7.378261557278165e-09,654547791.9442593,730333737.5117431,4.2843281193910534e+17,5.333873681478716e+17,2.6813189266666666,1.9756988333333334,0.7056200933333333,0.3571496229224545,0.015223715997450598,2.66688596,2.7362725066666664,2.6722668133333336,2.63271088,2.7247226266666664,2.6613959200000004,2.6273793466666664,2.730114346666667,2.662976866666667,2.6378318933333333,2.7342051333333335,2.689064826666667,1.975763,1.97573,1.975761,1.975728,1.975695,1.975726,1.975693,1.97566,1.975691,1.975658,1.975625,1.975656,0.69112296,0.7605425066666666,0.6965058133333334,0.65698288,0.7490276266666666,0.68566992,0.6516863466666667,0.7544543466666668,0.6872858666666666,0.6621738933333333,0.7585801333333335,0.7134088266666667
irr_1axis_2021-06-02_0900.csv,12.920722110937401,12.86889817143377,8.133650534371347,8.129984750478036,0.4010916654554535,0.045069355731712335,32095675.153282452,37733604.4548689,1030132363545032.6,1423824905156502.0,54.68186522222223,38.239641666666664,16.442223555555557,0.4299784945392983,0.02497287951624934,53.81478,54.26255066666666,57.14857466666667,53.073443999999995,54.20722000000001,55.92902466666666,53.00359733333333,54.254398666666674,56.135252,53.696521999999995,54.27648,56.380538666666666,38.24446,37.95443333333333,38.49638,38.22683333333333,37.939060000000005,38.49799,38.26889333333333,37.898073333333336,38.58344666666667,38.30051666666666,37.86005333333333,38.60556,15.570320000000002,16.308117333333335,18.652194666666666,14.846610666666667,16.26816,17.431034666666665,14.734704,16.356325333333334,17.551805333333334,15.396005333333333,16.416426666666666,17.774978666666666
