x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;90856,51429;29616,75607;0,325972837
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;90866,58814;28956,90112;0,318674899
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;90877,37799;27940,91125;0,307457274
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;90888,16888;26421,24164;0,290700557
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;90883,478;25138,0421;0,276596389
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;90875,63691;24661,00962;0,271370966
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;90866,19573;25242,65224;0,277800251
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;90858,83083;24734,21487;0,272226864
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;90849,84455;25719,31038;0,283096908
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;90832,54993;27354,42168;0,30115219
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;90809,9135;28421,17505;0,312974362
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;90787,93221;29401,74801;0,323850835
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;90872,3815;29611,93014;0,325862812
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;90885,05729;28908,00808;0,318072174
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;90895,4217;27578,55328;0,303409704
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;90898,76788;26162,05281;0,28781526
