x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.009038352,-0.6206347,1.416283,1.394866,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,538.6350333333334,96.56531,0.17927747871305305
-0.03256558,-0.6206347,1.346103,1.324685,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,538.3186000000001,95.29648000000002,0.1770258411545855
-0.07416951,-0.6206347,1.275922,1.254505,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,538.0058666666666,94.02671,0.17476860580342035
-0.1157734,-0.6206347,1.205742,1.184324,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,537.6932,92.75695,0.1725087419577894
-0.1573774,-0.6206347,1.135561,1.114144,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,537.3805000000001,92.66126000000001,0.17243105689347327
-0.1989813,-0.6206347,1.065381,1.043963,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,537.0677999999999,98.71646,0.18380598537840964
-0.2405852,-0.6206347,0.9952,0.9737824,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,536.7371666666667,92.84732000000001,0.1729843818944619
-0.2821892,-0.6206347,0.9250195,0.9036019,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,536.3904,100.73453333333333,0.18780042583332496
-0.3237931,-0.6206347,0.8548389,0.8334213,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,536.0475333333333,112.86796666666665,0.2105554994522884
-0.365397,-0.6206347,0.7846583,0.7632407,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,535.7046666666666,122.38856666666668,0.2284623334828765
-0.407001,-0.6206347,0.7144778,0.6930602,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,535.3618,125.54656666666666,0.2345074530144169
-0.4486049,-0.6206347,0.6442972,0.6228796,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,534.7333,129.1069,0.24144121669397306
0.009038352,-0.4433105,1.416283,1.394866,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,538.7560666666667,96.61537,0.1793301210836399
-0.03256558,-0.4433105,1.346103,1.324685,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,538.4433666666666,95.05066333333333,0.17652829004742118
-0.07416951,-0.4433105,1.275922,1.254505,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,538.1307,92.45556333333333,0.17180843152955555
-0.1157734,-0.4433105,1.205742,1.184324,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,537.8195000000001,90.50949000000001,0.16828940138949708
-0.1573774,-0.4433105,1.135561,1.114144,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,537.4929999999999,88.56287999999999,0.16476998813010008
-0.1989813,-0.4433105,1.065381,1.043963,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,537.1546,97.69039666666667,0.18186610484311563
-0.2405852,-0.4433105,0.9952,0.9737824,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,536.8053333333334,102.0068,0.19002532881194273
-0.2821892,-0.4433105,0.9250195,0.9036019,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,536.4519333333334,92.67415333333334,0.17275355874650203
-0.3237931,-0.4433105,0.8548389,0.8334213,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,536.1087333333334,113.459,0.21163391176383542
-0.365397,-0.4433105,0.7846583,0.7632407,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,535.7097333333332,123.77206666666666,0.23104272318107996
-0.407001,-0.4433105,0.7144778,0.6930602,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,535.2303333333333,124.40256666666666,0.23242766056297154
-0.4486049,-0.4433105,0.6442972,0.6228796,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,534.7958,128.34316666666666,0.2399849188825862
0.009038352,-0.2659863,1.416283,1.394866,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,538.8808666666666,96.51966,0.1791109814049536
-0.03256558,-0.2659863,1.346103,1.324685,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,538.5682,94.95444000000002,0.17630870833311674
-0.07416951,-0.2659863,1.275922,1.254505,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,538.2555,89.41036333333334,0.16611107034161843
-0.1157734,-0.2659863,1.205742,1.184324,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,537.9410333333334,86.64045,0.16105908189240464
-0.1573774,-0.2659863,1.135561,1.114144,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,537.6032,89.95330333333334,0.16732254571919888
-0.1989813,-0.2659863,1.065381,1.043963,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,537.2581,96.93125666666667,0.18041808257257377
