,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_1axis_2021-03-01_0700.csv,0.23116441462667908,0.23116440475982522,0.23116441462667908,0.23116440475982522,4.268327316481191e-06,4.268327316481191e-06,928445131.493778,928445131.493778,8.620103621944987e+17,8.620103621944987e+17,4.925381527777778,4.925381527777778,0.0,0.0,0.0005992346399372466,4.923427333333334,4.921425666666667,4.923497666666667,4.921495666666666,4.9228993333333335,4.927901333333334,4.925805333333333,4.923736666666667,4.9289483333333335,4.9284186666666665,4.927889,4.929133333333334,4.923427333333334,4.921425666666667,4.923497666666667,4.921495666666666,4.9228993333333335,4.927901333333334,4.925805333333333,4.923736666666667,4.9289483333333335,4.9284186666666665,4.927889,4.929133333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_0800.csv,78.06445848635325,77.7941556368415,78.06445848635325,77.7941556368415,0.3462559719914111,0.3462559719914111,17517978.73008597,17517978.73008597,306879578787744.44,306879578787744.44,261.04304444444443,261.04304444444443,0.0,0.0,0.019152969248802224,261.6918666666666,255.8162333333333,266.9116333333333,261.35526666666664,254.46296666666663,266.7612,261.0653333333333,255.16203333333337,266.3908333333333,261.3824333333333,254.7070666666667,266.8096666666667,261.6918666666666,255.8162333333333,266.9116333333333,261.35526666666664,254.46296666666663,266.7612,261.0653333333333,255.16203333333337,266.3908333333333,261.3824333333333,254.7070666666667,266.8096666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_0900.csv,182.02240985501663,181.9576936109859,182.02240985501663,181.9576936109859,0.035553998039176804,0.035553998039176804,7921544.267455224,7921544.267455224,62750863581252.72,62750863581252.72,577.2796749999999,577.2796749999999,0.0,0.0,0.006083808834787948,577.9304000000001,573.668,581.1098000000001,577.9916666666667,573.6506666666667,579.5611,576.5251,573.2922666666667,580.8121666666666,577.8736666666667,572.026,582.9152666666666,577.9304000000001,573.668,581.1098000000001,577.9916666666667,573.6506666666667,579.5611,576.5251,573.2922666666667,580.8121666666666,577.8736666666667,572.026,582.9152666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1000.csv,163.61554607826974,163.58578821662684,163.61554607826974,163.58578821662684,0.018187673699827656,0.018187673699827656,8767182.567605434,8767182.567605434,76863490173724.61,76863490173724.61,521.5981833333334,521.5981833333334,0.0,0.0,0.004712515398952194,522.6488,518.6635333333334,524.8435000000001,522.6840333333333,518.6449000000001,523.6723666666667,520.8924333333333,519.3041999999999,523.4896,521.3176,518.1487333333333,524.8684999999999,522.6488,518.6635333333334,524.8435000000001,522.6840333333333,518.6449000000001,523.6723666666667,520.8924333333333,519.3041999999999,523.4896,521.3176,518.1487333333333,524.8684999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1100.csv,61.880783058709035,61.879754365395776,61.880783058709035,61.879754365395776,0.0016623792757854972,0.0016623792757854972,21669838.637493137,21669838.637493137,469581906574990.44,469581906574990.44,211.02817500000003,211.02817500000003,0.0,0.0,0.0020489716982747003,211.2608,210.6875333333333,211.5791333333333,211.11593333333332,210.6417,211.506,211.18740000000005,210.3458,211.4391666666667,210.88013333333333,210.3728,211.3217,211.2608,210.6875333333333,211.5791333333333,211.11593333333332,210.6417,211.506,211.18740000000005,210.3458,211.4391666666667,210.88013333333333,210.3728,211.3217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1200.csv,150.35391878779535,150.34754954308852,150.35391878779535,150.34754954308852,0.004236168074754687,0.004236168074754687,9500549.790862186,9500549.790862186,90260446328651.53,90260446328651.53,481.3349333333333,481.3349333333333,0.0,0.0,0.0009706809954636829,481.1065,480.8566333333333,481.8911,481.4400666666666,480.9672333333333,481.8975666666667,481.5267999999999,481.07936666666666,481.8766666666667,481.0704666666666,480.5143666666666,481.79243333333335,481.1065,480.8566333333333,481.8911,481.4400666666666,480.9672333333333,481.8975666666667,481.5267999999999,481.07936666666666,481.8766666666667,481.0704666666666,480.5143666666666,481.79243333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1300.csv,203.85872102635574,203.85871216033036,203.85872102635574,203.85871216033036,4.349102809442229e-06,4.349102809442229e-06,7106977.083056087,7106977.083056087,50509123259084.4,50509123259084.4,643.4446666666668,643.4446666666668,0.0,0.0,3.317744521071576e-05,643.4766666666668,643.4624666666667,643.4734,643.4592333333334,643.445,643.4559666666668,643.4417666666667,643.4275333333334,643.4385000000001,643.4243,643.4101,643.4210666666667,643.4766666666668,643.4624666666667,643.4734,643.4592333333334,643.445,643.4559666666668,643.4417666666667,643.4275333333334,643.4385000000001,643.4243,643.4101,643.4210666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1400.csv,240.6616679948781,240.66165243917237,240.6616679948781,240.66165243917237,6.463723892125017e-06,6.463723892125017e-06,6056980.188144522,6056980.188144522,36687008999575.25,36687008999575.25,754.9878583333335,754.9878583333335,0.0,0.0,3.7016833150645594e-05,755.0277333333333,755.0047666666668,755.029,755.0059666666666,754.9829999999998,755.0072333333334,754.9842333333332,754.9612666666667,754.9854666666666,754.9624666666667,754.9394666666667,754.9636999999999,755.0277333333333,755.0047666666668,755.029,755.0059666666666,754.9829999999998,755.0072333333334,754.9842333333332,754.9612666666667,754.9854666666666,754.9624666666667,754.9394666666667,754.9636999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1500.csv,239.11595760278942,239.11498659024164,239.11595760278942,239.11498659024164,0.00040608437743117065,0.00040608437743117065,6094816.173129334,6094816.173129334,37146784184238.9,37146784184238.9,750.3009722222223,750.3009722222223,0.0,0.0,0.0007579936914794594,749.3274,749.8549333333334,750.8489333333333,750.2946000000001,749.9711666666667,750.7984666666666,750.2845666666667,749.9745333333334,750.6218666666667,749.9819333333334,751.4938333333334,750.1594333333334,749.3274,749.8549333333334,750.8489333333333,750.2946000000001,749.9711666666667,750.7984666666666,750.2845666666667,749.9745333333334,750.6218666666667,749.9819333333334,751.4938333333334,750.1594333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1600.csv,233.82323316796194,233.81762444769055,233.82323316796194,233.81762444769055,0.002398701016758764,0.002398701016758764,6228122.088439653,6228122.088439653,38789504748509.9,38789504748509.9,734.2416277777778,734.2416277777778,0.0,0.0,0.0013186408066330937,734.1629333333334,735.2280333333333,732.5206666666667,734.0705666666667,735.4184333333333,732.8832666666667,734.2795333333333,735.1968666666667,733.6346333333335,734.4200666666667,735.4412666666667,733.6432666666666,734.1629333333334,735.2280333333333,732.5206666666667,734.0705666666667,735.4184333333333,732.8832666666667,734.2795333333333,735.1968666666667,733.6346333333335,734.4200666666667,735.4412666666667,733.6432666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1700.csv,211.2796832719718,211.27125683576008,211.2796832719718,211.27125683576008,0.003988285139982395,0.003988285139982395,6867313.297750679,6867313.297750679,47159991929463.305,47159991929463.305,665.900375,665.900375,0.0,0.0,0.002622918786383359,666.4626666666667,668.0869,663.1722,665.7053000000001,668.1115666666666,664.1468000000001,665.952,667.7572666666666,663.8297,666.0123666666667,667.4019333333334,664.1658000000001,666.4626666666667,668.0869,663.1722,665.7053000000001,668.1115666666666,664.1468000000001,665.952,667.7572666666666,663.8297,666.0123666666667,667.4019333333334,664.1658000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1800.csv,208.73045447115965,208.68718406534637,208.73045447115965,208.68718406534637,0.020730279116619954,0.020730279116619954,6947751.259716802,6947751.259716802,48271247566896.414,48271247566896.414,658.1908777777778,658.1908777777778,0.0,0.0,0.00454962923203713,658.0271,661.2429333333333,655.9666666666667,658.8342333333334,661.0577333333334,656.2950666666667,659.4122,662.5293666666666,652.6975666666667,657.3428666666667,660.5882666666666,654.2965333333333,658.0271,661.2429333333333,655.9666666666667,658.8342333333334,661.0577333333334,656.2950666666667,659.4122,662.5293666666666,652.6975666666667,657.3428666666667,660.5882666666666,654.2965333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-01_1900.csv,76.57060141736508,76.38590177478925,76.57060141736508,76.38590177478925,0.24121482547732853,0.24121482547732853,17832832.10983422,17832832.10983422,318009901057534.44,318009901057534.44,256.43411388888893,256.43411388888893,0.0,0.0,0.016114984666280856,257.5217333333333,260.8096333333333,251.49883333333327,257.22956666666664,260.4597333333333,251.2313333333333,256.3197333333333,261.3019333333333,250.67683333333332,257.6341333333333,260.78516666666667,251.7407333333333,257.5217333333333,260.8096333333333,251.49883333333327,257.22956666666664,260.4597333333333,251.2313333333333,256.3197333333333,261.3019333333333,250.67683333333332,257.6341333333333,260.78516666666667,251.7407333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-02_0700.csv,0.14820530537487225,0.14820530463108147,0.14820530537487225,0.14820530463108147,5.018651592081369e-07,5.018651592081369e-07,1159796039.882464,1159796039.882464,1.345126854127046e+18,1.345126854127046e+18,3.942888527777777,3.942888527777777,0.0,0.0,0.0001178063829363882,3.942202,3.942125333333333,3.942692000000001,3.942614666666666,3.9425373333333336,3.943104333333333,3.943027,3.9429496666666672,3.943517,3.9434396666666665,3.943019666666667,3.943433666666667,3.942202,3.942125333333333,3.942692000000001,3.942614666666666,3.9425373333333336,3.943104333333333,3.943027,3.9429496666666672,3.943517,3.9434396666666665,3.943019666666667,3.943433666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-03-02_0800.csv,3.912933073158576,3.911193969050011,3.912933073158576,3.911193969050011,0.044445025663605975,0.044445025663605975,200265544.6107983,200265544.6107983,4.010628835825964e+16,4.010628835825964e+16,22.83441472222222,22.83441472222222,0.0,0.0,0.008164329935370461,22.93866,22.62421333333333,23.04609333333333,22.94810666666667,22.51578333333333,23.02794,22.83747333333333,22.70271,22.99206666666667,22.78807333333333,22.59193666666667,22.999920000000003,22.93866,22.62421333333333,23.04609333333333,22.94810666666667,22.51578333333333,23.02794,22.83747333333333,22.70271,22.99206666666667,22.78807333333333,22.59193666666667,22.999920000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
