x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;232044,2145;72125,48445;0,31082647
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;232074,1531;70140,58269;0,302233495
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;232104,6288;67515,78303;0,29088512
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;232134,8531;63563,22242;0,273820244
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;232132,484;60961,23922;0,262613995
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;232135,9474;62042,16083;0,267266493
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;232158,0094;63684,76506;0,274316466
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;232153,2262;60432,23163;0,260311831
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;232162,3609;61564,58347;0,265179002
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;232130,6561;66098,91572;0,284748755
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;232101,9909;69467,65361;0,299297964
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;232113,989;72364,78244;0,311763985
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;232047,518;71978,37265;0,310188073
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;232073,8734;69835,13127;0,300917677
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;232100,0043;66473,06208;0,286398365
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;232120,4167;62729,56152;0,270245772
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;232138,2004;59654,17941;0,256977004
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;232151,8266;59605,41303;0,256751858
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;232154,5371;60992,16623;0,262722266
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;232149,4324;59209,14348;0,255047547
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;232139,8625;61298,90496;0,264060227
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;232137,8553;66076,39488;0,28464291
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;232134,4697;69176,55594;0,298002084
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;232117,4356;72275,16593;0,311373273
