x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.5140734,-0.6206347,0.9485675,0.9102765,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,940.2108000000002,375.64963333333327,0.3995372461112839
0.4396927,-0.6206347,0.9820892,0.9437982,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,940.1995000000001,358.30676666666665,0.3810961243550356
0.3653119,-0.6206347,1.015611,0.9773199,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,940.1938333333333,340.95959999999997,0.3626478128912642
0.2909312,-0.6206347,1.049133,1.010842,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,940.1880333333334,289.64886666666666,0.30807513850672086
0.2165504,-0.6206347,1.082654,1.044363,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,940.1823333333333,272.69866666666667,0.2900483948166138
0.1421697,-0.6206347,1.116176,1.077885,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,940.1766333333331,300.1097333333333,0.31920535300261876
0.06778895,-0.6206347,1.149698,1.111407,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,940.1708333333332,330.3854333333333,0.3514096270699452
-0.006591791,-0.6206347,1.183219,1.144928,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,940.1651333333334,303.8874333333333,0.3232273771188808
-0.08097253,-0.6206347,1.216741,1.17845,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,941.7688666666667,294.61463333333336,0.3128308133027262
-0.1553533,-0.6206347,1.250263,1.211972,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,941.8343666666666,305.20256666666666,0.3240508664978639
-0.229734,-0.6206347,1.283785,1.245494,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,941.9054666666667,303.93533333333335,0.32268101355003614
-0.3041148,-0.6206347,1.317306,1.279015,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,941.9765666666667,336.25663333333335,0.3569688336880776
0.5140734,-0.4433105,0.9485675,0.9102765,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,940.2030666666666,376.27590000000004,0.40020662890134284
0.4396927,-0.4433105,0.9820892,0.9437982,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,940.1973666666667,357.7724333333333,0.3805286692868466
0.3653119,-0.4433105,1.015611,0.9773199,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,940.3308333333333,326.5682,0.34729038029305614
0.2909312,-0.4433105,1.049133,1.010842,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,940.5267666666667,297.0796,0.31586478414441993
0.2165504,-0.4433105,1.082654,1.044363,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,940.7409666666666,278.63733333333334,0.2961889053601273
0.1421697,-0.4433105,1.116176,1.077885,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,940.9752333333332,281.62129999999996,0.29928630503490933
0.06778895,-0.4433105,1.149698,1.111407,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,941.2312666666667,322.85003333333333,0.34300782576939565
-0.006591791,-0.4433105,1.183219,1.144928,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,941.5149,303.7764,0.3226460647132991
-0.08097253,-0.4433105,1.216741,1.17845,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,941.7195666666667,296.83773333333335,0.31520786934071776
-0.1553533,-0.4433105,1.250263,1.211972,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,941.7906333333334,305.2213,0.3240858053917021
-0.229734,-0.4433105,1.283785,1.245494,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,941.8617,306.4296,0.3253442354177525
-0.3041148,-0.4433105,1.317306,1.279015,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,941.9327666666668,339.0174333333334,0.3599164244138468
0.5140734,-0.2659863,0.9485675,0.9102765,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,940.2009333333332,376.9438666666667,0.40091798719268046
0.4396927,-0.2659863,0.9820892,0.9437982,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,940.1952,356.85110000000003,0.37954960890078054
0.3653119,-0.2659863,1.015611,0.9773199,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,940.1894666666667,333.83473333333336,0.3550713873082596
0.2909312,-0.2659863,1.049133,1.010842,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,940.3936666666667,288.01876666666664,0.306274351477961
0.2165504,-0.2659863,1.082654,1.044363,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,940.6280333333334,269.00399999999996,0.2859830926616447
0.1421697,-0.2659863,1.116176,1.077885,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,940.8824666666666,291.3201666666667,0.3096240682161702
0.06778895,-0.2659863,1.149698,1.111407,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,941.1704,326.65066666666667,0.3470682031632779
-0.006591791,-0.2659863,1.183219,1.144928,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,941.5191666666666,304.3399,0.32324310277652046
-0.08097253,-0.2659863,1.216741,1.17845,a2.1.a3.5.0.cellPVmodule.6457,a2.1.a3.5.0.cellPVmodule.2310,941.6758,299.2802,0.3178162613754528
-0.1553533,-0.2659863,1.250263,1.211972,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,941.7468333333333,302.47066666666666,0.321180103591071
-0.229734,-0.2659863,1.283785,1.245494,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,941.8179666666666,303.3276,0.3220657161678878
-0.3041148,-0.2659863,1.317306,1.279015,a2.1.a3.7.0.cellPVmodule.6457,a2.1.a3.7.0.cellPVmodule.2310,941.8890333333333,334.8137,0.3554700529265607
0.5140734,-0.08866211,0.9485675,0.9102765,a2.1.a4.0.0.cellPVmodule.6457,a2.1.a4.0.0.cellPVmodule.2310,940.1987666666665,378.85186666666664,0.40294826705799724
0.4396927,-0.08866211,0.9820892,0.9437982,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,940.1930333333333,361.06390000000005,0.38403126078124095
0.3653119,-0.08866211,1.015611,0.9773199,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,940.1873333333333,334.52546666666666,0.35580686848202403
0.2909312,-0.08866211,1.049133,1.010842,a2.1.a4.2.0.cellPVmodule.6457,a2.1.a4.2.0.cellPVmodule.2310,940.1815999999999,293.2899,0.3119499339809097
0.2165504,-0.08866211,1.082654,1.044363,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,940.3339333333333,277.7396,0.2953624183836908
0.1421697,-0.08866211,1.116176,1.077885,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,940.7030666666666,293.4071666666667,0.31190166712719647
