,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_1axis_2021-05-01_0800.csv,1.5118252170266904,1.511824066935996,1.5118252170266904,1.511824066935996,7.607299318124205e-05,7.607299318124205e-05,172101642.93912005,172101642.93912005,2.9618975502344372e+16,2.9618975502344372e+16,12.864393333333334,12.864393333333334,0.0,0.0,0.00042574660674476105,12.864803333333333,12.858620000000002,12.87004,12.86385,12.857663333333331,12.869083333333334,12.862899999999998,12.85671,12.86813,12.86721,12.859723333333337,12.873986666666667,12.864803333333333,12.858620000000002,12.87004,12.86385,12.857663333333331,12.869083333333334,12.862899999999998,12.85671,12.86813,12.86721,12.859723333333337,12.873986666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_0900.csv,106.6505671500165,106.4979467199777,106.6505671500165,106.4979467199777,0.1431032521600457,0.1431032521600457,6351764.607269976,6351764.607269976,40344913626167.516,40344913626167.516,348.5619138888889,348.5619138888889,0.0,0.0,0.012460873766782357,349.49929999999995,343.3546333333333,353.65083333333337,348.21070000000003,343.3273,353.3294333333333,348.492,343.8253,353.55143333333336,348.3718333333333,343.2737,353.85650000000004,349.49929999999995,343.3546333333333,353.65083333333337,348.21070000000003,343.3273,353.3294333333333,348.492,343.8253,353.55143333333336,348.3718333333333,343.2737,353.85650000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1000.csv,189.5401539280459,189.52808310505657,189.5401539280459,189.52808310505657,0.006368477992211297,0.006368477992211297,3689459.1265801415,3689459.1265801415,13612108646705.5,13612108646705.5,600.0834138888889,600.0834138888889,0.0,0.0,0.0032642240128469145,599.9311,597.7368666666666,601.8871666666668,599.8642333333333,597.4999666666668,602.8699,600.5161666666667,597.8877666666667,602.6103333333334,599.8796,598.2237333333333,602.0941333333333,599.9311,597.7368666666666,601.8871666666668,599.8642333333333,597.4999666666668,602.8699,600.5161666666667,597.8877666666667,602.6103333333334,599.8796,598.2237333333333,602.0941333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1100.csv,219.48030513348564,219.48108443836028,219.48030513348564,219.48108443836028,-0.00035506824822562066,-0.00035506824822562066,3205251.764650855,3205251.764650855,10273638874797.422,10273638874797.422,690.736138888889,690.736138888889,0.0,0.0,0.0010414830911775331,689.9072666666666,689.3360666666667,691.1681,690.4133,690.6978333333333,691.5231666666667,691.0042,690.6070666666668,691.7207666666667,691.4518333333332,690.0255999999999,690.9784666666668,689.9072666666666,689.3360666666667,691.1681,690.4133,690.6978333333333,691.5231666666667,691.0042,690.6070666666668,691.7207666666667,691.4518333333332,690.0255999999999,690.9784666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1200.csv,211.7636182310695,211.76251886629538,211.7636182310695,211.76251886629538,0.0005191471430663341,0.0005191471430663341,3317511.153134275,3317511.153134275,11005880251170.309,11005880251170.309,667.3627083333333,667.3627083333333,0.0,0.0,0.0008220222839035583,666.8897000000001,667.1090666666668,667.5948666666667,667.309,667.2362666666667,667.8098666666666,667.5397333333334,668.0056666666667,666.4236999999999,667.2143666666667,668.4097333333333,666.8105333333333,666.8897000000001,667.1090666666668,667.5948666666667,667.309,667.2362666666667,667.8098666666666,667.5397333333334,668.0056666666667,666.4236999999999,667.2143666666667,668.4097333333333,666.8105333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1300.csv,200.74194375190316,200.74192251853162,200.74194375190316,200.74192251853162,1.0577446431625503e-05,1.0577446431625503e-05,3492021.9793719617,3492021.9793719617,12194217504416.873,12194217504416.873,634.0118249999999,634.0118249999999,0.0,0.0,4.7803002012699736e-05,633.9653,633.9764,633.9796,633.9907,634.0017,634.005,634.0161,634.0271,634.0304,634.0414,634.0525,634.0557,633.9653,633.9764,633.9796,633.9907,634.0017,634.005,634.0161,634.0271,634.0304,634.0414,634.0525,634.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1400.csv,204.41948640140293,204.4191101823567,204.41948640140293,204.4191101823567,0.0001840426531174444,0.0001840426531174444,3431778.312905137,3431778.312905137,11777102388926.027,11777102388926.027,645.1416805555556,645.1416805555556,0.0,0.0,0.00035705371434662674,644.8869666666666,644.9657333333333,645.0073666666666,644.8864666666667,644.9478333333333,644.9141333333333,645.2902,645.4339,645.2129,645.3602999999999,645.5077,645.2866666666666,644.8869666666666,644.9657333333333,645.0073666666666,644.8864666666667,644.9478333333333,644.9141333333333,645.2902,645.4339,645.2129,645.3602999999999,645.5077,645.2866666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1500.csv,218.21832821785023,218.21894798849593,218.21832821785023,218.21894798849593,-0.0002840140196980201,-0.0002840140196980201,3223130.810719754,3223130.810719754,10388572223010.979,10388572223010.979,686.9045527777779,686.9045527777779,0.0,0.0,0.000891094546385996,686.5976999999999,686.5849,687.5075666666667,686.6148,686.4884333333333,687.7602666666667,687.7874,687.7402666666667,686.6781666666667,686.4034,686.6352333333334,686.0565,686.5976999999999,686.5849,687.5075666666667,686.6148,686.4884333333333,687.7602666666667,687.7874,687.7402666666667,686.6781666666667,686.4034,686.6352333333334,686.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1600.csv,220.53515631027577,220.53550520951893,220.53515631027577,220.53550520951893,-0.00015820572511415776,-0.00015820572511415776,3190464.542983899,3190464.542983899,10179064000037.459,10179064000037.459,693.9375749999999,693.9375749999999,0.0,0.0,0.0011895393457715265,693.0644666666667,694.2671,692.5330333333333,694.2782333333334,694.1030333333333,693.7471666666667,693.2046999999999,694.1841666666666,694.5097999999999,695.4845333333333,694.6968,693.1778666666665,693.0644666666667,694.2671,692.5330333333333,694.2782333333334,694.1030333333333,693.7471666666667,693.2046999999999,694.1841666666666,694.5097999999999,695.4845333333333,694.6968,693.1778666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_1axis_2021-05-01_1700.csv,168.5541519242364,168.50789591841675,168.5541519242364,168.50789591841675,0.027442816027715367,0.027442816027715367,4126330.162452353,4126330.162452353,17026600609564.062,17026600609564.062,536.5501888888889,536.5501888888889,0.0,0.0,0.005438957426769104,536.3449,539.0362333333334,532.5906666666666,536.7776666666666,539.9768666666666,533.9439333333333,537.3640333333333,540.7841333333333,532.7807666666668,536.3101333333334,539.5288333333334,533.1641,536.3449,539.0362333333334,532.5906666666666,536.7776666666666,539.9768666666666,533.9439333333333,537.3640333333333,540.7841333333333,532.7807666666668,536.3101333333334,539.5288333333334,533.1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
