x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;121449,8325;38414,54794;0,316299717
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;121481,1992;37478,46606;0,308512478
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;121513,2884;36070,77045;0,296846301
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;121544,691;33811,7582;0,27818375
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;121546,4147;32462,13349;0,267076024
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;121566,3161;32095,12102;0,264013271
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;121581,5404;32896,6381;0,270572636
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;121593,5448;32084,79947;0,263869264
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;121605,3124;33407,32592;0,274719295
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;121589,5977;35545,93644;0,292343562
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;121591,8353;37032,33617;0,304562685
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;121606,416;38552,40753;0,317026095
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;121473,3139;38453,99451;0,316563309
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;121502,0301;37476,02138;0,308439464
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;121526,8216;35738,41531;0,294078415
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;121546,0713;33670,22301;0,277016134
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;121563,8156;31845,48557;0,261965167
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;121580,4417;31300,32113;0,257445362
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;121592,1233;32002,01304;0,263191496
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;121598,2116;31645,04712;0,2602427
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;121600,2853;33542,88888;0,275845476
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;121610,2015;35651,49483;0,293162038
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;121618,1249;37350,91469;0,307116348
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;121626,0874;38636,56496;0,317666756
0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.0.0.cellPVmodule.6457;a2.1.a3.0.0.cellPVmodule.2310;121487,5059;38431,72588;0,316343029
0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;121516,3687;37459,39755;0,308266266
0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;121530,049;35823,90047;0,294774012
0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.2.0.cellPVmodule.6457;a2.1.a3.2.0.cellPVmodule.2310;121555,6074;33570,35843;0,276172847
0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;121583,3873;31823,59127;0,261742922
0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;121597,5017;31145,79708;0,25613846
-0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;121605,7415;31793,62846;0,261448414
-0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;121604,6003;31542,23555;0,259383569
-0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.5.0.cellPVmodule.6457;a2.1.a3.5.0.cellPVmodule.2310;121606,551;33238,1901;0,273325652
-0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;121615,1797;35412,69582;0,291186475
-0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;121619,33;37083,7697;0,304916738
-0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.7.0.cellPVmodule.6457;a2.1.a3.7.0.cellPVmodule.2310;121617,2201;38601,97859;0,317405531
0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.0.0.cellPVmodule.6457;a2.1.a4.0.0.cellPVmodule.2310;121480,4652;38376,83598;0,315909522
0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;121506,3733;37363,33147;0,307500999
0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;121533,4983;35529,75503;0,292345363
0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.2.0.cellPVmodule.6457;a2.1.a4.2.0.cellPVmodule.2310;121552,8382;33486,55865;0,275489728
0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;121559,6652;31525,03446;0,259337949
0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;121573,7926;30995,30619;0,254950555
-0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;121588,309;31705,02905;0,260757215
-0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;121602,3153;31357,73545;0,257871202
-0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.5.0.cellPVmodule.6457;a2.1.a4.5.0.cellPVmodule.2310;121607,3904;33219,66966;0,273171468
-0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;121606,3172;35442,39797;0,291451945
-0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;121610,9858;37259,79214;0,306385082
-0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.7.0.cellPVmodule.6457;a2.1.a4.7.0.cellPVmodule.2310;121606,7927;38552,78619;0,317028227
0,448720432;0,088662105;1,1555;1,1135;a2.1.a6.0.0.cellPVmodule.6457;a2.1.a6.0.0.cellPVmodule.2310;121484,5497;38235,41386;0,314734784
0,367134899;0,088662105;1,1555;1,1135;a2.1.a6.1.0.cellPVmodule.6457;a2.1.a6.1.0.cellPVmodule.2310;121505,8586;37252,43612;0,306589627
0,285549366;0,088662105;1,1555;1,1135;a2.1.a6.1.0.cellPVmodule.6457;a2.1.a6.1.0.cellPVmodule.2310;121525,1038;35616,8852;0,29308253
0,203963833;0,088662105;1,1555;1,1135;a2.1.a6.2.0.cellPVmodule.6457;a2.1.a6.2.0.cellPVmodule.2310;121542,0673;33400,09465;0,27480275
0,1223783;0,088662105;1,1555;1,1135;a2.1.a6.3.0.cellPVmodule.6457;a2.1.a6.3.0.cellPVmodule.2310;121556,5035;31672,31267;0,260556297
