x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4481843,-0.6206347,1.156439,1.114439,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,1033.38,456.6286,0.44187826174470013
0.366599,-0.6206347,1.156268,1.114268,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,1033.378,441.6742,0.4274077564959226
0.2850136,-0.6206347,1.156097,1.114098,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,1033.378,426.7237666666667,0.41294023457673007
0.2034283,-0.6206347,1.155927,1.113927,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,1033.379,389.35023333333334,0.3767735328081958
0.1218429,-0.6206347,1.155756,1.113756,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,1033.379,393.6497,0.38093411910429853
0.04025756,-0.6206347,1.155585,1.113585,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,1033.379,406.5894666666666,0.3934559084428445
-0.04132779,-0.6206347,1.155414,1.113414,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,1033.379,407.1784666666667,0.39402588270207156
-0.1229131,-0.6206347,1.155243,1.113243,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,1033.379,384.59756666666664,0.3721743856729051
-0.2044985,-0.6206347,1.155072,1.113072,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,1033.379,378.12943333333334,0.36591518447553983
-0.2860839,-0.6206347,1.154901,1.112901,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,1033.379,409.00413333333336,0.39579257710942095
-0.3676692,-0.6206347,1.154731,1.112731,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,1033.379,429.8633666666667,0.4159780203474683
-0.4492546,-0.6206347,1.15456,1.11256,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,1033.379,455.9183666666667,0.44119139780784106
0.4481843,-0.4433105,1.156439,1.114439,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,1033.382,454.9238,0.4402276793792815
0.366599,-0.4433105,1.156268,1.114268,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,1033.382,439.9734,0.425760245717222
0.2850136,-0.4433105,1.156097,1.114098,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,1033.382,401.6909,0.388714445660515
0.2034283,-0.4433105,1.155927,1.113927,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,1033.382,382.7984333333333,0.370432292125314
0.1218429,-0.4433105,1.155756,1.113756,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,1033.382,376.22600000000006,0.36407217846626083
0.04025756,-0.4433105,1.155585,1.113585,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,1033.382,374.52226666666667,0.36242348351643744
-0.04132779,-0.4433105,1.155414,1.113414,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,1033.382,396.2116666666666,0.3834122166386195
-0.1229131,-0.4433105,1.155243,1.113243,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,1033.382,377.5808,0.36538321222625103
-0.2044985,-0.4433105,1.155072,1.113072,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,1033.382,374.24683333333337,0.36215694794024417
-0.2860839,-0.4433105,1.154901,1.112901,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,1033.382,409.6233666666667,0.3963906573522757
-0.3676692,-0.4433105,1.154731,1.112731,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,1033.382,432.43636666666663,0.4184666930524952
-0.4492546,-0.4433105,1.15456,1.11256,a2.1.a2.7.0.cellPVmodule.6457,a2.1.a2.7.0.cellPVmodule.2310,1033.383,455.2944,0.4405858809503534
0.4481843,-0.2659863,1.156439,1.114439,a2.1.a3.0.0.cellPVmodule.6457,a2.1.a3.0.0.cellPVmodule.2310,1033.386,451.324,0.4367424788583561
0.366599,-0.2659863,1.156268,1.114268,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,1033.386,435.28549999999996,0.42122215588158163
0.2850136,-0.2659863,1.156097,1.114098,a2.1.a3.1.0.cellPVmodule.6457,a2.1.a3.1.0.cellPVmodule.2310,1033.386,402.80870000000004,0.3897946267951891
0.2034283,-0.2659863,1.155927,1.113927,a2.1.a3.2.0.cellPVmodule.6457,a2.1.a3.2.0.cellPVmodule.2310,1033.386,380.3387666666667,0.3680506593044684
0.1218429,-0.2659863,1.155756,1.113756,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,1033.386,375.47256666666664,0.3633416780612362
0.04025756,-0.2659863,1.155585,1.113585,a2.1.a3.3.0.cellPVmodule.6457,a2.1.a3.3.0.cellPVmodule.2310,1033.386,373.51189999999997,0.3614443572446721
-0.04132779,-0.2659863,1.155414,1.113414,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,1033.386,394.6876,0.38193590590940274
-0.1229131,-0.2659863,1.155243,1.113243,a2.1.a3.4.0.cellPVmodule.6457,a2.1.a3.4.0.cellPVmodule.2310,1033.386,372.59999999999997,0.360561919203551
-0.2044985,-0.2659863,1.155072,1.113072,a2.1.a3.5.0.cellPVmodule.6457,a2.1.a3.5.0.cellPVmodule.2310,1033.386,371.6784666666667,0.3596701590659324
-0.2860839,-0.2659863,1.154901,1.112901,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,1033.386,401.5981,0.3886231392498648
-0.3676692,-0.2659863,1.154731,1.112731,a2.1.a3.6.0.cellPVmodule.6457,a2.1.a3.6.0.cellPVmodule.2310,1033.386,425.59386666666666,0.41184364295918824
-0.4492546,-0.2659863,1.15456,1.11256,a2.1.a3.7.0.cellPVmodule.6457,a2.1.a3.7.0.cellPVmodule.2310,1033.386,447.53206666666665,0.4330730565283545
0.4481843,-0.08866211,1.156439,1.114439,a2.1.a4.0.0.cellPVmodule.6457,a2.1.a4.0.0.cellPVmodule.2310,1033.39,450.7229666666667,0.43615917563310175
0.366599,-0.08866211,1.156268,1.114268,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,1033.39,432.5306,0.4185546419506266
0.2850136,-0.08866211,1.156097,1.114098,a2.1.a4.1.0.cellPVmodule.6457,a2.1.a4.1.0.cellPVmodule.2310,1033.39,414.64866666666666,0.40125051085858754
0.2034283,-0.08866211,1.155927,1.113927,a2.1.a4.2.0.cellPVmodule.6457,a2.1.a4.2.0.cellPVmodule.2310,1033.39,396.77070000000003,0.38395021826201314
0.1218429,-0.08866211,1.155756,1.113756,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,1033.39,373.2799333333334,0.36121848683928287
0.04025756,-0.08866211,1.155585,1.113585,a2.1.a4.3.0.cellPVmodule.6457,a2.1.a4.3.0.cellPVmodule.2310,1033.39,375.16876666666667,0.3630462880619888
-0.04132779,-0.08866211,1.155414,1.113414,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,1033.39,397.08093333333335,0.38425042731486275
-0.1229131,-0.08866211,1.155243,1.113243,a2.1.a4.4.0.cellPVmodule.6457,a2.1.a4.4.0.cellPVmodule.2310,1033.39,371.2583666666667,0.35926224117170236
-0.2044985,-0.08866211,1.155072,1.113072,a2.1.a4.5.0.cellPVmodule.6457,a2.1.a4.5.0.cellPVmodule.2310,1033.39,367.8847333333333,0.35599761690718545
-0.2860839,-0.08866211,1.154901,1.112901,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,1033.39,403.14963333333327,0.39012303506933316
-0.3676692,-0.08866211,1.154731,1.112731,a2.1.a4.6.0.cellPVmodule.6457,a2.1.a4.6.0.cellPVmodule.2310,1033.39,425.7398,0.4119832667402754
-0.4492546,-0.08866211,1.15456,1.11256,a2.1.a4.7.0.cellPVmodule.6457,a2.1.a4.7.0.cellPVmodule.2310,1033.39,446.8478333333333,0.43240925587055945
0.4481843,0.08866211,1.156439,1.114439,a2.1.a6.0.0.cellPVmodule.6457,a2.1.a6.0.0.cellPVmodule.2310,1033.394,452.59863333333334,0.43797254034839855
0.366599,0.08866211,1.156268,1.114268,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,1033.394,437.2246666666667,0.4230953959199209
0.2850136,0.08866211,1.156097,1.114098,a2.1.a6.1.0.cellPVmodule.6457,a2.1.a6.1.0.cellPVmodule.2310,1033.394,421.85330000000005,0.4082207674703284
0.2034283,0.08866211,1.155927,1.113927,a2.1.a6.2.0.cellPVmodule.6457,a2.1.a6.2.0.cellPVmodule.2310,1033.394,385.3550666666667,0.3729020042352312
0.1218429,0.08866211,1.155756,1.113756,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,1033.394,384.6213333333333,0.3721919820913913
0.04025756,0.08866211,1.155585,1.113585,a2.1.a6.3.0.cellPVmodule.6457,a2.1.a6.3.0.cellPVmodule.2310,1033.394,393.7923,0.38106658151045825
-0.04132779,0.08866211,1.155414,1.113414,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,1033.394,395.51573333333334,0.38273432069376506
-0.1229131,0.08866211,1.155243,1.113243,a2.1.a6.4.0.cellPVmodule.6457,a2.1.a6.4.0.cellPVmodule.2310,1033.394,377.9105,0.36569801479589126
-0.2044985,0.08866211,1.155072,1.113072,a2.1.a6.5.0.cellPVmodule.6457,a2.1.a6.5.0.cellPVmodule.2310,1033.394,389.04653333333334,0.3764741781538844
-0.2860839,0.08866211,1.154901,1.112901,a2.1.a6.6.0.cellPVmodule.6457,a2.1.a6.6.0.cellPVmodule.2310,1033.394,403.02846666666665,0.39000427393849074
-0.3676692,0.08866211,1.154731,1.112731,a2.1.a6.6.0.cellPVmodule.6457,a2.1.a6.6.0.cellPVmodule.2310,1033.394,424.1647,0.4104574726992099
-0.4492546,0.08866211,1.15456,1.11256,a2.1.a6.7.0.cellPVmodule.6457,a2.1.a6.7.0.cellPVmodule.2310,1033.394,456.9780666666666,0.44221044873128534
