x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;247877,3573;81479,99383;0,328710917
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;247916,0672;79343,40668;0,320041405
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;247955,3343;76557,15888;0,308753828
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;247994,1489;72492,00922;0,292313384
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;247992,1106;69806,4099;0,281486413
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;247996,4234;70538,14488;0,284432104
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;248006,6194;72534,51597;0,292470079
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;248002,7842;69027,01728;0,278331621
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;248005,7339;70104,17851;0,282671603
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;247971,0016;74939,59419;0,302211119
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;247942,2584;78320,31813;0,315881279
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;247928,4698;81639,09762;0,329284884
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;247873,2615;81132,61412;0,327314908
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;247910,105;78798,50014;0,317851101
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;247945,3391;75209,37156;0,30333045
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;247971,2286;71006,12957;0,286348258
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;247987,3122;67631,8657;0,272723087
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;248001,057;67015,96742;0,270224522
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;248003,7004;68618,6063;0,276683799
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;247997,2642;66778,60363;0,269271532
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;247982,7797;68962,20894;0,278092732
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;247969,8381;74342,38529;0,299804144
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;247950,3306;77949,1393;0,314374007
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;247923,349;81304,91521;0,327943758
0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.0.0.cellPVmodule.6457;a2.1.a3.0.0.cellPVmodule.2310;247863,3681;81019,30192;0,326870817
0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;247902,7687;78745,37113;0,317646193
0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;247923,3785;75499,20268;0,304526353
0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.2.0.cellPVmodule.6457;a2.1.a3.2.0.cellPVmodule.2310;247953,0977;70910,10824;0,28598194
0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;247986,4569;67034,23604;0,270314099
0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;247994,4918;66303,69188;0,267359533
-0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;247998,7496;67442,40481;0,271946551
-0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;247990,447;66123,65185;0,266637898
-0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.5.0.cellPVmodule.6457;a2.1.a3.5.0.cellPVmodule.2310;247975,0679;68516,99318;0,276305975
-0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;247954,4744;73930,23555;0,298160521
-0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;247935,7593;77805,92515;0,313814857
-0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.7.0.cellPVmodule.6457;a2.1.a3.7.0.cellPVmodule.2310;247905,0977;81132,67584;0,327273123
0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.0.0.cellPVmodule.6457;a2.1.a4.0.0.cellPVmodule.2310;247878,3124;81124,69064;0,327276273
0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;247916,758;78793,44513;0,317822181
0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;247953,8086;75165,62806;0,303143671
0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.2.0.cellPVmodule.6457;a2.1.a4.2.0.cellPVmodule.2310;247996,6319;70644,79687;0,284861919
0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;247979,2993;67092,15487;0,270555465
0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;247976,1501;66121,8032;0,266645816
-0,040792767;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;247989,4913;67250,99875;0,271184872
-0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.4.0.cellPVmodule.6457;a2.1.a4.4.0.cellPVmodule.2310;247995,5275;66159,94115;0,266778766
-0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.5.0.cellPVmodule.6457;a2.1.a4.5.0.cellPVmodule.2310;247991,9896;68852,4482;0,277639806
-0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;247939,2769;74224,15375;0,299364241
-0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.6.0.cellPVmodule.6457;a2.1.a4.6.0.cellPVmodule.2310;247916,6566;77985,40271;0,31456298
-0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.7.0.cellPVmodule.6457;a2.1.a4.7.0.cellPVmodule.2310;247884,4734;81250,0108;0,327773698
0,448720432;0,088662105;1,1555;1,1135;a2.1.a6.0.0.cellPVmodule.6457;a2.1.a6.0.0.cellPVmodule.2310;247877,4182;81450,71978;0,328592738
