x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4515463,-0.6206347,1.150472,1.108475,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,902.4762999999999,397.03916666666663,0.43994366026344006
0.3699659,-0.6206347,1.151383,1.109386,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,902.4744,385.00953333333337,0.4266149895424666
0.2883855,-0.6206347,1.152295,1.110297,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,902.4762,372.9764333333333,0.41328072701818214
0.206805,-0.6206347,1.153206,1.111208,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,902.4779,339.0406333333333,0.3756770749247803
0.1252246,-0.6206347,1.154117,1.11212,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,902.4796,337.64643333333333,0.3741315141104788
0.04364412,-0.6206347,1.155028,1.113031,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,902.4813,353.0869666666667,0.3912397690975952
-0.03793632,-0.6206347,1.15594,1.113942,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,902.4829999999998,351.53600000000006,0.38952047903342346
-0.1195168,-0.6206347,1.156851,1.114854,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,902.4847,336.0174333333333,0.3723243851213746
-0.2010972,-0.6206347,1.157762,1.115765,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,902.4865,336.39660000000003,0.37274377761464844
-0.2826776,-0.6206347,1.158674,1.116676,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,902.4882000000001,358.0156,0.39669793278412635
-0.3642581,-0.6206347,1.159585,1.117588,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,902.4899,374.5269666666666,0.4149925131285718
-0.4458385,-0.6206347,1.160496,1.118499,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,902.4916,398.10819999999995,0.44112073605922086
0.4515463,-0.4433105,1.150472,1.108475,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,902.4953,394.29716666666667,0.4368961586509182
0.3699659,-0.4433105,1.151383,1.109386,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,902.497,379.95733333333334,0.4210062884719228
0.2883855,-0.4433105,1.152295,1.110297,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,902.4988,365.0433,0.4044802004388256
0.206805,-0.4433105,1.153206,1.111208,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,902.5005,339.0341,0.37566042826521623
0.1252246,-0.4433105,1.154117,1.11212,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,902.5022,338.56013333333334,0.3751345516928176
0.04364412,-0.4433105,1.155028,1.113031,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,902.5039,345.4952333333333,0.3828181246809112
