x;y;z;rearZ;mattype;rearMat;Wm2Front;Wm2Back;Back/FrontRatio
0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.0.0.cellPVmodule.6457;a2.1.a0.0.0.cellPVmodule.2310;175717,7659;57372,32872;0,326502719
0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;175749,4836;55945,57023;0,318325658
0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.1.0.cellPVmodule.6457;a2.1.a0.1.0.cellPVmodule.2310;175781,9428;53981,51043;0,307093603
0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.2.0.cellPVmodule.6457;a2.1.a0.2.0.cellPVmodule.2310;175813,2961;50698,1081;0,288363332
0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;175822,6346;48761,16177;0,277331537
0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.3.0.cellPVmodule.6457;a2.1.a0.3.0.cellPVmodule.2310;175809,6428;48833,43397;0,277763113
-0,040792767;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;175819,4823;49945,52772;0,28407277
-0,1223783;-0,620634738;1,1555;1,1135;a2.1.a0.4.0.cellPVmodule.6457;a2.1.a0.4.0.cellPVmodule.2310;175816,3072;48206,11454;0,274184545
-0,203963833;-0,620634738;1,1555;1,1135;a2.1.a0.5.0.cellPVmodule.6457;a2.1.a0.5.0.cellPVmodule.2310;175814,6913;49442,27705;0,281218119
-0,285549366;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;175778,9497;53119,65548;0,302195771
-0,367134899;-0,620634738;1,1555;1,1135;a2.1.a0.6.0.cellPVmodule.6457;a2.1.a0.6.0.cellPVmodule.2310;175735,9633;55789,98712;0,317464825
-0,448720432;-0,620634738;1,1555;1,1135;a2.1.a0.7.0.cellPVmodule.6457;a2.1.a0.7.0.cellPVmodule.2310;175711,285;57870,74469;0,329351324
0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.0.0.cellPVmodule.6457;a2.1.a2.0.0.cellPVmodule.2310;175725,3851;57327,64271;0,326234268
0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;175758,7105;55785,23815;0,317396718
0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.1.0.cellPVmodule.6457;a2.1.a2.1.0.cellPVmodule.2310;175791,6213;53176,73068;0,302498663
0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.2.0.cellPVmodule.6457;a2.1.a2.2.0.cellPVmodule.2310;175815,1873;50326,78674;0,286248232
0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;175824,753;47907,37482;0,272472298
0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.3.0.cellPVmodule.6457;a2.1.a2.3.0.cellPVmodule.2310;175830,0389;47048,92632;0,267581844
-0,040792767;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;175826,2748;48031,25779;0,273174516
-0,1223783;-0,443310527;1,1555;1,1135;a2.1.a2.4.0.cellPVmodule.6457;a2.1.a2.4.0.cellPVmodule.2310;175816,378;47286,31349;0,268952834
-0,203963833;-0,443310527;1,1555;1,1135;a2.1.a2.5.0.cellPVmodule.6457;a2.1.a2.5.0.cellPVmodule.2310;175794,4771;49075,09394;0,279161749
-0,285549366;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;175771,6032;53166,12452;0,302472773
-0,367134899;-0,443310527;1,1555;1,1135;a2.1.a2.6.0.cellPVmodule.6457;a2.1.a2.6.0.cellPVmodule.2310;175745,8289;55517,14029;0,315894496
-0,448720432;-0,443310527;1,1555;1,1135;a2.1.a2.7.0.cellPVmodule.6457;a2.1.a2.7.0.cellPVmodule.2310;175715,7201;57856,43448;0,329261572
0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.0.0.cellPVmodule.6457;a2.1.a3.0.0.cellPVmodule.2310;175737,0259;57455,3956;0,326939613
0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;175768,4517;55959,99946;0,318373397
0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.1.0.cellPVmodule.6457;a2.1.a3.1.0.cellPVmodule.2310;175796,2029;53594,70531;0,304868388
0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.2.0.cellPVmodule.6457;a2.1.a3.2.0.cellPVmodule.2310;175818,7788;50438,80387;0,286879501
0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;175839,135;47754,14984;0,27157862
0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.3.0.cellPVmodule.6457;a2.1.a3.3.0.cellPVmodule.2310;175840,3932;46764,7397;0,265949925
-0,040792767;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;175836,2666;47312,52519;0,269071482
-0,1223783;-0,265986316;1,1555;1,1135;a2.1.a3.4.0.cellPVmodule.6457;a2.1.a3.4.0.cellPVmodule.2310;175818,9186;46957,96626;0,267081417
-0,203963833;-0,265986316;1,1555;1,1135;a2.1.a3.5.0.cellPVmodule.6457;a2.1.a3.5.0.cellPVmodule.2310;175795,2638;49236,39914;0,280078074
-0,285549366;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;175772,3207;53092,50979;0,302052731
-0,367134899;-0,265986316;1,1555;1,1135;a2.1.a3.6.0.cellPVmodule.6457;a2.1.a3.6.0.cellPVmodule.2310;175741,5494;55866,55539;0,317890421
-0,448720432;-0,265986316;1,1555;1,1135;a2.1.a3.7.0.cellPVmodule.6457;a2.1.a3.7.0.cellPVmodule.2310;175710,5889;57945,19788;0,329776355
0,448720432;-0,088662105;1,1555;1,1135;a2.1.a4.0.0.cellPVmodule.6457;a2.1.a4.0.0.cellPVmodule.2310;175732,4643;57686,86708;0,328265281
0,367134899;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;175763,7765;56181,34501;0,319641201
0,285549366;-0,088662105;1,1555;1,1135;a2.1.a4.1.0.cellPVmodule.6457;a2.1.a4.1.0.cellPVmodule.2310;175801,591;53535,84425;0,304524229
0,203963833;-0,088662105;1,1555;1,1135;a2.1.a4.2.0.cellPVmodule.6457;a2.1.a4.2.0.cellPVmodule.2310;175826,8522;50418,91314;0,286753202
0,1223783;-0,088662105;1,1555;1,1135;a2.1.a4.3.0.cellPVmodule.6457;a2.1.a4.3.0.cellPVmodule.2310;175811,5402;47715,1792;0,271399584
