x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.02699778,-0.6206347,1.415656,1.396811,a2.1.a0.0.0.cellPVmodule.6457,a2.1.a0.0.0.cellPVmodule.2310,680.2583666666666,116.34250000000002,0.17102667850071504
-0.06360481,-0.6206347,1.342745,1.323899,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,679.6779,114.89976666666666,0.1690500715362308
-0.1002119,-0.6206347,1.269833,1.250988,a2.1.a0.1.0.cellPVmodule.6457,a2.1.a0.1.0.cellPVmodule.2310,679.0966666666667,113.4579,0.1670715503366477
-0.1368189,-0.6206347,1.196921,1.178076,a2.1.a0.2.0.cellPVmodule.6457,a2.1.a0.2.0.cellPVmodule.2310,678.5154,108.38136666666666,0.15973286226636035
-0.1734259,-0.6206347,1.124009,1.105164,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,677.9341666666668,111.95949999999999,0.16514779805640212
-0.210033,-0.6206347,1.051098,1.032252,a2.1.a0.3.0.cellPVmodule.6457,a2.1.a0.3.0.cellPVmodule.2310,677.3529,120.25443333333332,0.17753560337267318
-0.24664,-0.6206347,0.9781857,0.9593405,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,677.0837666666667,115.01619999999998,0.16986972039886877
-0.283247,-0.6206347,0.905274,0.8864288,a2.1.a0.4.0.cellPVmodule.6457,a2.1.a0.4.0.cellPVmodule.2310,676.1516,113.88146666666667,0.16842568773183253
-0.3198541,-0.6206347,0.8323622,0.813517,a2.1.a0.5.0.cellPVmodule.6457,a2.1.a0.5.0.cellPVmodule.2310,675.2195666666667,133.11939999999998,0.19714950428297084
-0.3564611,-0.6206347,0.7594505,0.7406053,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,674.2875333333333,139.44920000000002,0.20680938961046158
-0.3930681,-0.6206347,0.6865387,0.6676935,a2.1.a0.6.0.cellPVmodule.6457,a2.1.a0.6.0.cellPVmodule.2310,673.3555333333333,144.46536666666665,0.2145451325043454
-0.4296752,-0.6206347,0.613627,0.5947818,a2.1.a0.7.0.cellPVmodule.6457,a2.1.a0.7.0.cellPVmodule.2310,673.3830333333334,147.61816666666667,0.21921839449613717
-0.02699778,-0.4433105,1.415656,1.396811,a2.1.a2.0.0.cellPVmodule.6457,a2.1.a2.0.0.cellPVmodule.2310,680.2926666666666,115.6798,0.17004391730826052
-0.06360481,-0.4433105,1.342745,1.323899,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,679.7114,114.23790000000001,0.16806799464008604
-0.1002119,-0.4433105,1.269833,1.250988,a2.1.a2.1.0.cellPVmodule.6457,a2.1.a2.1.0.cellPVmodule.2310,679.2130999999999,107.61703333333332,0.15844346183822353
-0.1368189,-0.4433105,1.196921,1.178076,a2.1.a2.2.0.cellPVmodule.6457,a2.1.a2.2.0.cellPVmodule.2310,679.0564333333333,104.66586666666667,0.15413404158303157
-0.1734259,-0.4433105,1.124009,1.105164,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,678.6325666666667,106.766,0.15732496187068457
-0.210033,-0.4433105,1.051098,1.032252,a2.1.a2.3.0.cellPVmodule.6457,a2.1.a2.3.0.cellPVmodule.2310,677.9788666666667,112.51743333333333,0.1659598446286212
-0.24664,-0.4433105,0.9781857,0.9593405,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,677.0468333333333,106.3959,0.1571467993275709
-0.283247,-0.4433105,0.905274,0.8864288,a2.1.a2.4.0.cellPVmodule.6457,a2.1.a2.4.0.cellPVmodule.2310,676.1148333333333,113.48623333333335,0.16785028206458708
-0.3198541,-0.4433105,0.8323622,0.813517,a2.1.a2.5.0.cellPVmodule.6457,a2.1.a2.5.0.cellPVmodule.2310,675.3176,137.36953333333335,0.2034144081524385
-0.3564611,-0.4433105,0.7594505,0.7406053,a2.1.a2.6.0.cellPVmodule.6457,a2.1.a2.6.0.cellPVmodule.2310,674.9416,140.52326666666667,0.20820032202244557
