,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_Arizona_Horizontal_1.csv,0.02753594153576704,0.027535941540877,0.02753594153576704,0.027535941540877,-1.855741516010312e-08,-1.855741516010312e-08,2800054.3706415775,2800054.3706415775,7840304478549.001,7840304478549.001,1.9606463124999998,1.9606463124999998,0.0,0.0,7.706563083578477e-05,1.960492125,1.960428625,1.960426375,1.96054975,1.96062325,1.9606216250000001,1.9606193749999998,1.96074275,1.960815875,1.9608136250000001,1.9608113750000002,1.9608110000000003,1.960492125,1.960428625,1.960426375,1.96054975,1.96062325,1.9606216250000001,1.9606193749999998,1.96074275,1.960815875,1.9608136250000001,1.9608113750000002,1.9608110000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_10.csv,98.32926916591245,98.32928772305473,98.32926916591245,98.32928772305473,-1.8872450127105367e-05,-1.8872450127105367e-05,12978.83898484437,12978.83898484437,168450261.39451602,168450261.39451602,422.98978229166664,422.98978229166664,0.0,0.0,7.306857077899586e-05,423.03655,423.0272375,423.0118625,423.014175,423.00937500000003,422.9939375,422.9785625,422.98087499999997,422.9761125,422.960725,422.94527500000004,422.9427,423.03655,423.0272375,423.0118625,423.014175,423.00937500000003,422.9939375,422.9785625,422.98087499999997,422.9761125,422.960725,422.94527500000004,422.9427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_11.csv,66.73414598948952,66.73413211303865,66.73414598948952,66.73413211303865,2.0793629190052343e-05,2.0793629190052343e-05,18638.49735635845,18638.49735635845,347393583.70298094,347393583.70298094,294.54715000000004,294.54715000000004,0.0,0.0,6.415075370349315e-05,294.573475,294.5720875,294.5660125,294.56125000000003,294.5559625,294.5499,294.5439,294.53915,294.5338625,294.5277875,294.5217125,294.5207,294.573475,294.5720875,294.5660125,294.56125000000003,294.5559625,294.5499,294.5439,294.53915,294.5338625,294.5277875,294.5217125,294.5207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_12.csv,29.428446486986672,29.42844325600637,29.428446486986672,29.42844325600637,1.0979105894648455e-05,1.0979105894648455e-05,39166.86638229035,39166.86638229035,1534043422.2081857,1534043422.2081857,140.16736041666667,140.16736041666667,0.0,0.0,6.725196810345303e-05,140.1796,140.1803375,140.1787625,140.1738125,140.17025,140.16875000000002,140.16725,140.1623125,140.15875,140.15725,140.15574999999998,140.1555,140.1796,140.1803375,140.1787625,140.1738125,140.17025,140.16875000000002,140.16725,140.1623125,140.15875,140.15725,140.15574999999998,140.1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_13.csv,2.838228961314803,2.8382290804416304,2.838228961314803,2.8382290804416304,-4.197224015456413e-06,-4.197224015456413e-06,245495.4983739658,245495.4983739658,60268039721.88184,60268039721.88184,22.362594479166663,22.362594479166663,0.0,0.0,7.693027964386274e-05,22.36442125,22.365048750000003,22.365101250000002,22.36366,22.36281625,22.36286875,22.362921249999996,22.36148,22.36063625,22.360688749999998,22.36074125,22.36075,22.36442125,22.365048750000003,22.365101250000002,22.36366,22.36281625,22.36286875,22.362921249999996,22.36148,22.36063625,22.360688749999998,22.36074125,22.36075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_2.csv,23.16564744293967,23.16564874430679,23.16564744293967,23.16564874430679,-5.617659184053991e-06,-5.617659184053991e-06,48332.4254254261,48332.4254254261,2336023347.5043755,2336023347.5043755,113.58660833333333,113.58660833333333,0.0,0.0,6.734372345103353e-05,113.578125,113.57588749999998,113.5752125,113.58222500000001,113.5861625,113.5854875,113.5848125,113.59182500000001,113.59576250000002,113.59508750000002,113.59441250000002,113.59430000000002,113.578125,113.57588749999998,113.5752125,113.58222500000001,113.5861625,113.5854875,113.5848125,113.59182500000001,113.59576250000002,113.59508750000002,113.59441250000002,113.59430000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_3.csv,57.53282569502167,57.53282593890677,57.53282569502167,57.53282593890677,-4.239060018562668e-07,-4.239060018562668e-07,21372.716696021213,21372.716696021213,456793018.9683839,456793018.9683839,256.8656270833333,256.8656270833333,0.0,0.0,3.916020830318105e-05,256.8557,256.8517625,256.8491375,256.8608875,256.8668875,256.8642625,256.86163750000003,256.873325,256.879325,256.87676250000004,256.87413749999996,256.8737,256.8557,256.8517625,256.8491375,256.8608875,256.8668875,256.8642625,256.86163750000003,256.873325,256.879325,256.87676250000004,256.87413749999996,256.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_4.csv,80.26911965738218,80.26910056767692,80.26911965738218,80.26910056767692,2.3782128593552443e-05,2.3782128593552443e-05,15698.849000213755,15698.849000213755,246453859.93151242,246453859.93151242,349.7018333333333,349.7018333333333,0.0,0.0,6.619141316366328e-05,349.682575,349.67105000000004,349.66114999999996,349.693375,349.70878749999997,349.69894999999997,349.68905,349.721275,349.7366875,349.72685,349.71695,349.7153,349.682575,349.67105000000004,349.66114999999996,349.693375,349.70878749999997,349.69894999999997,349.68905,349.721275,349.7366875,349.72685,349.71695,349.7153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_5.csv,135.40985998833608,135.40985128794927,135.40985998833608,135.40985128794927,6.425224000849994e-06,6.425224000849994e-06,9584.091434059465,9584.091434059465,91854808.616412,91854808.616412,572.8155156249999,572.8155156249999,0.0,0.0,4.060025443838109e-05,572.8034875,572.787225,572.7717749999999,572.811075,572.828475,572.8130125,572.7974875,572.836775,572.854175,572.8387250000001,572.823275,572.8207,572.8034875,572.787225,572.7717749999999,572.811075,572.828475,572.8130125,572.7974875,572.836775,572.854175,572.8387250000001,572.823275,572.8207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Arizona_Horizontal_6.csv,165.39674888460544,165.39676327314703,165.39674888460544,165.39676327314703,-8.699410173562683e-06,-8.699410173562683e-06,7911.466828485331,7911.466828485331,62591307.37822373,62591307.37822373,693.9188895833332,693.9188895833332,0.0,0.0,2.6127212175999937e-05,693.9186625,693.9026375000001,693.8848624999999,693.9209625,693.9355125,693.9177375,693.8999625,693.9360625,693.9505750000001,693.9327375,693.9149624999999,693.9119999999999,693.9186625,693.9026375000001,693.8848624999999,693.9209625,693.9355125,693.9177375,693.8999625,693.9360625,693.9505750000001,693.9327375,693.9149624999999,693.9119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
