,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_China_Horizontal_1.csv,4.668290734284619,4.668291759591602,4.668290734284619,4.668291759591602,-2.1963220405041284e-05,-2.1963220405041284e-05,167366.72356802426,167366.72356802426,28011620157.895447,28011620157.895447,31.3270571875,31.3270571875,0.0,0.0,6.394965537434653e-05,31.3248775,31.3242225,31.3241175,31.32585,31.326851249999997,31.3267525,31.326647500000004,31.328380000000003,31.3293775,31.32927375,31.329176250000003,31.32916,31.3248775,31.3242225,31.3241175,31.32585,31.326851249999997,31.3267525,31.326647500000004,31.328380000000003,31.3293775,31.32927375,31.329176250000003,31.32916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_10.csv,90.46589066127835,90.46588008146912,90.46589066127835,90.46588008146912,1.1694804683770599e-05,1.1694804683770599e-05,13404.273746093431,13404.273746093431,179674554.66020963,179674554.66020963,391.1518833333333,391.1518833333333,0.0,0.0,6.114304903324342e-05,391.18651250000005,391.1828625,391.1748375000001,391.16962500000005,391.1632875,391.15525,391.14715,391.1419875,391.1356875,391.1276500000001,391.11955000000006,391.11820000000006,391.18651250000005,391.1828625,391.1748375000001,391.16962500000005,391.1632875,391.15525,391.14715,391.1419875,391.1356875,391.1276500000001,391.11955000000006,391.11820000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_11.csv,55.74784841496476,55.7478361048734,55.74784841496476,55.7478361048734,2.2081733561662986e-05,2.2081733561662986e-05,21011.254291257923,21011.254291257923,441472806.8919045,441472806.8919045,249.53802604166665,249.53802604166665,0.0,0.0,8.664835189933598e-05,249.56685,249.5673875,249.5631125,249.55315,249.5454625,249.54120000000003,249.537,249.52698750000002,249.5192625,249.51500000000001,249.5108,249.5101,249.56685,249.5673875,249.5631125,249.55315,249.5454625,249.54120000000003,249.537,249.52698750000002,249.5192625,249.51500000000001,249.5108,249.5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_12.csv,9.138079683534869,9.13807931996563,9.138079683534869,9.13807931996563,3.978617513666904e-06,3.978617513666904e-06,100446.97428629013,100446.97428629013,10089594643.270632,10089594643.270632,52.19775864583334,52.19775864583334,0.0,0.0,2.1729678563632968e-05,52.199168750000005,52.19933375,52.19923625,52.19850125,52.198021250000004,52.197925000000005,52.197835,52.19710125,52.19662125,52.19652375,52.196426249999995,52.19640999999999,52.199168750000005,52.19933375,52.19923625,52.19850125,52.198021250000004,52.197925000000005,52.197835,52.19710125,52.19662125,52.19652375,52.196426249999995,52.19640999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_2.csv,45.18205631386652,45.18205388831515,45.18205631386652,45.18205388831515,5.368395264326864e-06,5.368395264326864e-06,25457.11130414044,25457.11130414044,648064515.9513949,648064515.9513949,205.95843958333333,205.95843958333333,0.0,0.0,4.6123391934103606e-05,205.9485875,205.94513750000002,205.94356249999998,205.9533625,205.9586125,205.95705,205.95555,205.9653,205.9705125,205.96895,205.96744999999999,205.9672,205.9485875,205.94513750000002,205.94356249999998,205.9533625,205.9586125,205.95705,205.95555,205.9653,205.9705125,205.96895,205.96744999999999,205.9672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_3.csv,96.26683291422881,96.26685602341976,96.26683291422881,96.26685602341976,-2.400535080937516e-05,-2.400535080937516e-05,12645.901883009774,12645.901883009774,159918834.43471014,159918834.43471014,414.60917291666664,414.60917291666664,0.0,0.0,6.086732577977125e-05,414.584925,414.574575,414.567225,414.59775,414.613125,414.605775,414.598425,414.62895000000003,414.644325,414.636975,414.629625,414.6284,414.584925,414.574575,414.567225,414.59775,414.613125,414.605775,414.598425,414.62895000000003,414.644325,414.636975,414.629625,414.6284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_4.csv,153.2739135018242,153.27390502878043,153.2739135018242,153.27390502878043,5.5280403472579565e-06,5.5280403472579565e-06,8129.132025141945,8129.132025141945,66082787.482188374,66082787.482188374,644.977459375,644.977459375,0.0,0.0,3.338443037359731e-05,644.9610625,644.9492625,644.9388375,644.970475,644.9852875,644.97485,644.96435,644.9960375,645.01085,645.0003625,644.9899375,644.9882,644.9610625,644.9492625,644.9388375,644.970475,644.9852875,644.97485,644.96435,644.9960375,645.01085,645.0003625,644.9899375,644.9882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_5.csv,196.88997878234147,196.8900012005563,196.88997878234147,196.8900012005563,-1.1386163464521815e-05,-1.1386163464521815e-05,6384.078079834782,6384.078079834782,40756452.92942696,40756452.92942696,821.2786333333332,821.2786333333332,0.0,0.0,2.24497010656688e-05,821.271975,821.2577249999999,821.2434749999999,821.2767874999998,821.2910749999999,821.2768249999999,821.2625750000001,821.2958875,821.3101750000001,821.2959375,821.2817625,821.2794,821.271975,821.2577249999999,821.2434749999999,821.2767874999998,821.2910749999999,821.2768249999999,821.2625750000001,821.2958875,821.3101750000001,821.2959375,821.2817625,821.2794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_6.csv,219.28040895779463,219.28039753892196,219.28040895779463,219.28039753892196,5.2074294814019595e-06,5.2074294814019595e-06,5748.39568560665,5748.39568560665,33044052.958301146,33044052.958301146,912.0991677083334,912.0991677083334,0.0,0.0,1.4403217407323014e-05,912.1049750000001,912.090675,912.076125,912.10295,912.1131875,912.0985625,912.0839375,912.1108125000001,912.1210874999999,912.1064624999999,912.0918374999999,912.0894,912.1049750000001,912.090675,912.076125,912.10295,912.1131875,912.0985625,912.0839375,912.1108125000001,912.1210874999999,912.1064624999999,912.0918374999999,912.0894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Horizontal_7.csv,227.8739195215235,227.87394778712542,227.8739195215235,227.87394778712542,-1.2404053080672384e-05,-1.2404053080672384e-05,5536.759966567508,5536.759966567508,30655710.92738463,30655710.92738463,946.9630166666667,946.9630166666667,0.0,0.0,1.527869200960532e-05,946.9821000000001,946.96785,946.95135,946.9736,946.98035,946.96385,946.9473500000001,946.9696,946.97635,946.95985,946.94335,946.9406,946.9821000000001,946.96785,946.95135,946.9736,946.98035,946.96385,946.9473500000001,946.9696,946.97635,946.95985,946.94335,946.9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
