,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_China_Optimo_1.csv,4.870412620258961,4.870424805304013,4.870412620258961,4.870424805304013,-0.0002501850664913263,-0.0002501850664913263,184171.122264221,184171.122264221,33919002276.062637,33919002276.062637,32.3085646875,32.3085646875,0.0,0.0,0.0005688326204356852,32.323693750000004,32.3417225,32.294757499999996,32.312055,32.312853749999995,32.2900625,32.2960775,32.328105,32.317758749999996,32.27431625,32.30327375,32.3081,32.323693750000004,32.3417225,32.294757499999996,32.312055,32.312853749999995,32.2900625,32.2960775,32.328105,32.317758749999996,32.27431625,32.30327375,32.3081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_10.csv,100.09244241661459,100.09247957291373,100.09244241661459,100.09247957291373,-3.712198268601696e-05,-3.712198268601696e-05,13833.23086979325,13833.23086979325,191358276.2970009,191358276.2970009,430.1456885416667,430.1456885416667,0.0,0.0,0.0003822685240559366,430.3859625,430.4781875,430.2789125,430.2002625,430.14993749999996,430.11334999999997,430.1244500000001,430.06473750000004,430.0007625,429.9609875,429.9927125,429.998,430.3859625,430.4781875,430.2789125,430.2002625,430.14993749999996,430.11334999999997,430.1244500000001,430.06473750000004,430.0007625,429.9609875,429.9927125,429.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_11.csv,58.942089103791645,58.94139034747992,58.942089103791645,58.94139034747992,0.0011854963445472322,0.0011854963445472322,22653.83001293187,22653.83001293187,513196014.2548128,513196014.2548128,262.66219062499994,262.66219062499994,0.0,0.0,0.0007195997823051253,262.5784625,262.74014999999997,262.97265,262.605275,262.4719625,262.6891875,262.88891249999995,262.4780125,262.333975,262.5739375,262.78896249999997,262.8248,262.5784625,262.74014999999997,262.97265,262.605275,262.4719625,262.6891875,262.88891249999995,262.4780125,262.333975,262.5739375,262.78896249999997,262.8248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_12.csv,9.05651458539044,9.05650076830749,9.05651458539044,9.05650076830749,0.0001525651266689465,0.0001525651266689465,114804.34815514572,114804.34815514572,13180038355.327911,13180038355.327911,51.82995864583334,51.82995864583334,0.0,0.0,0.000224202183335997,51.835348749999994,51.857150000000004,51.842870000000005,51.825140000000005,51.821135,51.83046625,51.83440375,51.81994125,51.81424875,51.821077499999994,51.8282625,51.829460000000005,51.835348749999994,51.857150000000004,51.842870000000005,51.825140000000005,51.821135,51.83046625,51.83440375,51.81994125,51.81424875,51.821077499999994,51.8282625,51.829460000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_2.csv,49.90862219270626,49.9086298910593,49.90862219270626,49.9086298910593,-1.5424895934756933e-05,-1.5424895934756933e-05,26387.40285417782,26387.40285417782,696295029.3886718,696295029.3886718,225.49792604166672,225.49792604166672,0.0,0.0,0.00015935325211160272,225.47995,225.534775,225.517225,225.4611125,225.455375,225.5027,225.5249,225.4581,225.44797499999999,225.5071125,225.5401875,225.5457,225.47995,225.534775,225.517225,225.4611125,225.455375,225.5027,225.5249,225.4581,225.44797499999999,225.5071125,225.5401875,225.5457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_3.csv,105.8011465104027,105.80104722321565,105.8011465104027,105.80104722321565,9.384320523508904e-05,9.384320523508904e-05,13127.782892463574,13127.782892463574,172338683.6716593,172338683.6716593,453.2604375000001,453.2604375000001,0.0,0.0,0.00048664081189451694,452.88775000000004,453.0231125,453.3807875,453.1109625,453.0532125,453.3118875,453.4648125,453.1769875,453.16603749999996,453.4715,453.5339,453.5443,452.88775000000004,453.0231125,453.3807875,453.1109625,453.0532125,453.3118875,453.4648125,453.1769875,453.16603749999996,453.4715,453.5339,453.5443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_4.csv,172.10438181396242,172.10333243929355,172.10438181396242,172.10333243929355,0.0006097315232835854,0.0006097315232835854,8252.468959076705,8252.468959076705,68103243.92052455,68103243.92052455,721.0332625,721.0332625,0.0,0.0,0.00027012894742066515,720.6981000000001,720.8891249999999,721.177275,720.8934875,720.826025,721.0717625,721.2299375,720.9574875000001,720.92055,721.174175,721.2724249999999,721.2887999999999,720.6981000000001,720.8891249999999,721.177275,720.8934875,720.826025,721.0717625,721.2299375,720.9574875000001,720.92055,721.174175,721.2724249999999,721.2887999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_5.csv,221.81463550096896,221.8143986512849,221.81463550096896,221.8143986512849,0.00010677820402804628,0.00010677820402804628,6451.107710692594,6451.107710692594,41616790.69495744,41616790.69495744,922.3694416666666,922.3694416666666,0.0,0.0,0.00016563331638748987,922.579,922.65205,922.24135,922.4064000000001,922.4538375,922.2915625,922.2445375,922.4621999999999,922.4087625,922.1198875,922.2740125,922.2997,922.579,922.65205,922.24135,922.4064000000001,922.4538375,922.2915625,922.2445375,922.4621999999999,922.4087625,922.1198875,922.2740125,922.2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_6.csv,247.62276069808658,247.62276073031424,247.62276069808658,247.62276073031424,-1.3014826549806457e-08,-1.3014826549806457e-08,5791.288659953796,5791.288659953796,33539024.342909433,33539024.342909433,1027.4577847222224,1027.4577847222224,0.0,0.0,9.28541480448161e-05,1027.5240000000001,1027.67575,1027.35625,1027.364875,1027.4035,1027.40925,1027.42875,1027.4128333333335,1027.4012083333337,1027.420625,1027.538375,1027.558,1027.5240000000001,1027.67575,1027.35625,1027.364875,1027.4035,1027.40925,1027.42875,1027.4128333333335,1027.4012083333337,1027.420625,1027.538375,1027.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_China_Optimo_7.csv,257.1280148305837,257.1280144292626,257.1280148305837,257.1280144292626,1.5607832892783335e-07,1.5607832892783335e-07,5580.760711120295,5580.760711120295,31144890.1147839,31144890.1147839,1066.2174791666669,1066.2174791666669,0.0,0.0,6.706175968576262e-05,1066.168625,1066.301375,1066.321625,1066.166875,1066.118875,1066.209375,1066.283625,1066.141625,1066.12475,1066.25225,1066.25975,1066.261,1066.168625,1066.301375,1066.321625,1066.166875,1066.118875,1066.209375,1066.283625,1066.141625,1066.12475,1066.25225,1066.25975,1066.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
