,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_Israel_Horizontal_1.csv,0.0,0.0,0.0,0.0,,,5651941.008506727,5651941.008506727,31944437163640.043,31944437163640.043,0.988094834375,0.988094834375,0.0,0.0,2.6155939462836974e-06,0.988098925,0.9880979000000001,0.9880985000000001,0.9880958500000001,0.9880945,0.9880950749999999,0.988095525,0.9880929125,0.988091525,0.988092,0.9880926000000001,0.9880927,0.988098925,0.9880979000000001,0.9880985000000001,0.9880958500000001,0.9880945,0.9880950749999999,0.988095525,0.9880929125,0.988091525,0.988092,0.9880926000000001,0.9880927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_10.csv,111.90736387901343,111.90734610362246,111.90736387901343,111.90734610362246,1.5884022602108416e-05,1.5884022602108416e-05,11686.281905929598,11686.281905929598,136569184.7848575,136569184.7848575,477.8811395833334,477.8811395833334,0.0,0.0,3.493688851491639e-05,477.9044375,477.903175,477.898225,477.8934625,477.8885875,477.88357500000006,477.878625,477.87379999999996,477.8688875,477.863875,477.858925,477.8581,477.9044375,477.903175,477.898225,477.8934625,477.8885875,477.88357500000006,477.878625,477.87379999999996,477.8688875,477.863875,477.858925,477.8581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_11.csv,63.115013605836126,63.11501067950633,63.115013605836126,63.11501067950633,4.6365034762629875e-06,4.6365034762629875e-06,19960.439891507212,19960.439891507212,398419160.6624725,398419160.6624725,279.7861041666667,279.7861041666667,0.0,0.0,4.086012392742259e-05,279.8007,279.8018875,279.8000125,279.7940125,279.78966249999996,279.7878,279.786,279.7800125,279.77566249999995,279.7738,279.772,279.7717,279.8007,279.8018875,279.8000125,279.7940125,279.78966249999996,279.7878,279.786,279.7800125,279.77566249999995,279.7738,279.772,279.7717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_12.csv,34.87769251552094,34.877691495584365,34.87769251552094,34.877691495584365,2.9243235530884704e-06,2.9243235530884704e-06,34247.5306763913,34247.5306763913,1172893357.4303634,1172893357.4303634,163.06733958333334,163.06733958333334,0.0,0.0,4.6664127023707754e-05,163.075725,163.078125,163.07827500000002,163.07205,163.068375,163.068525,163.068675,163.06244999999998,163.058775,163.058925,163.059075,163.0591,163.075725,163.078125,163.07827500000002,163.07205,163.068375,163.068525,163.068675,163.06244999999998,163.058775,163.058925,163.059075,163.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_13.csv,2.0870754537957925,2.0870754820079793,2.0870754537957925,2.0870754820079793,-1.3517569215082403e-06,-1.3517569215082403e-06,301663.88425639435,301663.88425639435,91001099064.65529,91001099064.65529,18.512835,18.512835,0.0,0.0,5.958702133842977e-05,18.5140325,18.514387499999998,18.514492500000003,18.51346625,18.5128925,18.512997499999997,18.513102500000002,18.51207625,18.5115025,18.51160875,18.51172125,18.51174,18.5140325,18.514387499999998,18.514492500000003,18.51346625,18.5128925,18.512997499999997,18.513102500000002,18.51207625,18.5115025,18.51160875,18.51172125,18.51174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_2.csv,21.968064948252344,21.968052442775676,21.968064948252344,21.968052442775676,5.692570874771263e-05,5.692570874771263e-05,51490.239246035904,51490.239246035904,2651244737.614016,2651244737.614016,108.46043437499999,108.46043437499999,0.0,0.0,5.535000312223139e-05,108.4543625,108.45208749999999,108.4508125,108.4574125,108.4608625,108.45958750000001,108.4583125,108.4649125,108.46836249999998,108.46708749999998,108.4658125,108.4656,108.4543625,108.45208749999999,108.4508125,108.4574125,108.4608625,108.45958750000001,108.4583125,108.4649125,108.46836249999998,108.46708749999998,108.4658125,108.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_3.csv,78.41005319175518,78.41004042172526,78.41005319175518,78.41004042172526,1.6286215114291736e-05,1.6286215114291736e-05,16321.697362159062,16321.697362159062,266397804.7819101,266397804.7819101,342.1613322916666,342.1613322916666,0.0,0.0,4.2537200532179535e-05,342.1486375,342.1417625,342.1361375,342.1556375,342.16508749999997,342.15946249999996,342.1538375,342.1733375,342.18278749999996,342.1771624999999,342.1715375,342.1706,342.1486375,342.1417625,342.1361375,342.1556375,342.16508749999997,342.15946249999996,342.1538375,342.1733375,342.18278749999996,342.1771624999999,342.1715375,342.1706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_4.csv,131.2578679569786,131.25782403805178,131.2578679569786,131.25782403805178,3.346003367710182e-05,3.346003367710182e-05,10043.310727957301,10043.310727957301,100868090.37830222,100868090.37830222,556.0570479166666,556.0570479166666,0.0,0.0,2.8498286136232408e-05,556.0479,556.037275,556.027525,556.0534,556.065025,556.0552625,556.0454375,556.0713625,556.0829875,556.073175,556.0634249999999,556.0618,556.0479,556.037275,556.027525,556.0534,556.065025,556.0552625,556.0454375,556.0713625,556.0829875,556.073175,556.0634249999999,556.0618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_5.csv,168.86970676433717,168.86970667430788,168.86970676433717,168.86970667430788,5.3312859904508514e-08,5.3312859904508514e-08,7888.344329944529,7888.344329944529,62225976.267767996,62225976.267767996,707.9627208333333,707.9627208333333,0.0,0.0,2.0852424841332774e-05,707.9616749999999,707.9485,707.9347,707.9635875,707.9754,707.9616000000001,707.9478000000001,707.9766875000001,707.9885,707.9747,707.9609,707.9586,707.9616749999999,707.9485,707.9347,707.9635875,707.9754,707.9616000000001,707.9478000000001,707.9766875000001,707.9885,707.9747,707.9609,707.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Horizontal_6.csv,192.7169918085456,192.7170036079643,192.7169918085456,192.7170036079643,-6.122666491137352e-06,-6.122666491137352e-06,6943.1402380729905,6943.1402380729905,48207196.36554826,48207196.36554826,804.3411947916667,804.3411947916667,0.0,0.0,1.637924208414927e-05,804.3519999999999,804.3378499999999,804.32195,804.3478625,804.3570875,804.34125,804.3253500000001,804.3512000000001,804.3603875,804.3445625,804.3287374999999,804.3260999999999,804.3519999999999,804.3378499999999,804.32195,804.3478625,804.3570875,804.34125,804.3253500000001,804.3512000000001,804.3603875,804.3445625,804.3287374999999,804.3260999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
