,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_Israel_Optimo_1.csv,0.0,0.0,0.0,0.0,,,6670696.442061881,6670696.442061881,44498191022137.03,44498191022137.03,0.9685557906249999,0.9685557906249999,0.0,0.0,0.00023046812742808634,0.9687320125,0.9691335,0.9685713,0.9684190375,0.9684325375,0.9685200875,0.9685590125,0.9684183749999999,0.968308125,0.9683190624999999,0.9686044374999999,0.968652,0.9687320125,0.9691335,0.9685713,0.9684190375,0.9684325375,0.9685200875,0.9685590125,0.9684183749999999,0.968308125,0.9683190624999999,0.9686044374999999,0.968652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_10.csv,127.84853964281092,127.84840508026024,127.84853964281092,127.84840508026024,0.00010525153518869956,0.00010525153518869956,11913.38769669689,11913.38769669689,141928806.41180882,141928806.41180882,542.3261486111111,542.3261486111111,0.0,0.0,0.0002548527685358641,542.3737874999999,542.5546999999999,542.5283000000001,542.3014625000001,542.2188625,542.3216166666666,542.4295166666667,542.2113125000001,542.0968250000001,542.170375,542.339425,542.3676,542.3737874999999,542.5546999999999,542.5283000000001,542.3014625000001,542.2188625,542.3216166666666,542.4295166666667,542.2113125000001,542.0968250000001,542.170375,542.339425,542.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_11.csv,70.71420089352408,70.71409555427742,70.71420089352408,70.71409555427742,0.00014896476992021235,0.00014896476992021235,20786.148345556856,20786.148345556856,432063963.043496,432063963.043496,310.82919062499997,310.82919062499997,0.0,0.0,0.00027401390769709303,310.93445,310.994725,310.826875,310.8254625,310.83495000000005,310.814975,310.759625,310.7798375,310.8489875,310.905175,310.727425,310.6978,310.93445,310.994725,310.826875,310.8254625,310.83495000000005,310.814975,310.759625,310.7798375,310.8489875,310.905175,310.727425,310.6978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_12.csv,33.42692414236514,33.42688620957236,33.42692414236514,33.42688620957236,0.0001134797584683156,0.0001134797584683156,41157.5036617029,41157.5036617029,1693940107.6630878,1693940107.6630878,156.98089270833333,156.98089270833333,0.0,0.0,0.0007006175614421915,156.86124999999998,156.9616125,157.0222875,156.89046249999998,156.8565625,156.9504,157.0008,156.8788875,156.92295000000001,157.1295375,157.14656250000002,157.1494,156.86124999999998,156.9616125,157.0222875,156.89046249999998,156.8565625,156.9504,157.0008,156.8788875,156.92295000000001,157.1295375,157.14656250000002,157.1494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_13.csv,1.8545143883935538,1.8545208384190466,1.8545143883935538,1.8545208384190466,-0.0003478013183979556,-0.0003478013183979556,375735.9110832255,375735.9110832255,141177474877.54153,141177474877.54153,17.195432951388884,17.195432951388884,0.0,0.0,0.0007946477486417767,17.1894425,17.204433333333334,17.21495333333333,17.18893375,17.18062875,17.1968675,17.2107125,17.1815325,17.17210125,17.19049375,17.20623625,17.20886,17.1894425,17.204433333333334,17.21495333333333,17.18893375,17.18062875,17.1968675,17.2107125,17.1815325,17.17210125,17.19049375,17.20623625,17.20886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_2.csv,24.8382832560714,24.838277736629042,24.8382832560714,24.838277736629042,2.2221513049203168e-05,2.2221513049203168e-05,53520.64254518413,53520.64254518413,2864459178.4493732,2864459178.4493732,120.71868645833335,120.71868645833335,0.0,0.0,0.00018814935926234451,120.7371,120.7535,120.6929,120.7162375,120.71815,120.690625,120.706975,120.73795,120.7231,120.67868750000001,120.7302125,120.7388,120.7371,120.7535,120.6929,120.7162375,120.71815,120.690625,120.706975,120.73795,120.7231,120.67868750000001,120.7302125,120.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_3.csv,89.72093593211612,89.72088191049889,89.72093593211612,89.72088191049889,6.0210715233210976e-05,6.0210715233210976e-05,16646.1401970871,16646.1401970871,277093983.461079,277093983.461079,388.13452187499996,388.13452187499996,0.0,0.0,0.00045962206341656825,388.2540125,388.2643125,387.9439875,388.1581625,388.197275,387.98364999999995,387.91615,388.180025,388.3938875,388.406275,387.992725,387.9238,388.2540125,388.2643125,387.9439875,388.1581625,388.197275,387.98364999999995,387.91615,388.180025,388.3938875,388.406275,387.992725,387.9238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_4.csv,151.12697201808697,151.12635883693426,151.12697201808697,151.12635883693426,0.00040573905805274535,0.00040573905805274535,10153.724257280219,10153.724257280219,103098116.29288073,103098116.29288073,636.3125,636.3125,0.0,0.0,0.0003230237374743398,636.627375,636.7087124999999,636.1309875000001,636.3966375,636.48855,636.2544625,636.1024375,636.1504749999999,636.2637625,636.3472624999999,636.1556375,636.1237,636.627375,636.7087124999999,636.1309875000001,636.3966375,636.48855,636.2544625,636.1024375,636.1504749999999,636.2637625,636.3472624999999,636.1556375,636.1237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_5.csv,194.33804940065332,194.33801544242868,194.33804940065332,194.33801544242868,1.7473791018574047e-05,1.7473791018574047e-05,7967.433422765488,7967.433422765488,63479995.34620058,63479995.34620058,810.9188145833333,810.9188145833333,0.0,0.0,0.00019024521569754936,811.1352000000002,811.2470500000001,810.75415,810.905625,810.9642,810.8168000000001,810.7484,810.9493750000001,810.934375,810.726975,810.9068249999999,810.9368,811.1352000000002,811.2470500000001,810.75415,810.905625,810.9642,810.8168000000001,810.7484,810.9493750000001,810.934375,810.726975,810.9068249999999,810.9368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_6.csv,221.57365689832457,221.5735341922973,221.57365689832457,221.5735341922973,5.5379339300998254e-05,5.5379339300998254e-05,7012.143295922914,7012.143295922914,49170153.60255667,49170153.60255667,921.3932736111111,921.3932736111111,0.0,0.0,0.0001238856278228153,921.2818000000001,921.4786875,921.4660125,921.2845875,921.2581125,921.4048624999999,921.4742375000001,921.3034666666667,921.2583166666668,921.3912125,921.5460875,921.5719,921.2818000000001,921.4786875,921.4660125,921.2845875,921.2581125,921.4048624999999,921.4742375000001,921.3034666666667,921.2583166666668,921.3912125,921.5460875,921.5719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_7.csv,222.33741711380748,222.33704910109884,222.33741711380748,222.33704910109884,0.00016551991716085013,0.00016551991716085013,6988.679101856435,6988.679101856435,48841635.588724874,48841635.588724874,924.4868125000002,924.4868125000002,0.0,0.0,0.0002986930987692003,924.7698874999999,924.8244541666666,924.2209791666667,924.4371708333332,924.5242833333332,924.325025,924.158975,924.4948625,924.8148125,924.8793625000001,924.2485375,924.1434,924.7698874999999,924.8244541666666,924.2209791666667,924.4371708333332,924.5242833333332,924.325025,924.158975,924.4948625,924.8148125,924.8793625000001,924.2485375,924.1434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_8.csv,209.91257503258774,209.91248560702343,209.91257503258774,209.91248560702343,4.260133739819594e-05,4.260133739819594e-05,7391.28162797045,7391.28162797045,54631044.10397351,54631044.10397351,874.1300888888887,874.1300888888887,0.0,0.0,0.0003985663181153568,874.6609749999999,874.7810125000001,873.7124875,874.137775,874.3235750000001,873.9662708333334,873.5846958333334,874.14335,874.293425,873.9334,874.0059999999999,874.0180999999999,874.6609749999999,874.7810125000001,873.7124875,874.137775,874.3235750000001,873.9662708333334,873.5846958333334,874.14335,874.293425,873.9334,874.0059999999999,874.0180999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Israel_Optimo_9.csv,177.7541859698031,177.75395572438813,177.7541859698031,177.75395572438813,0.00012953023508543993,0.00012953023508543993,8685.253972614673,8685.253972614673,75433636.56881897,75433636.56881897,743.8978395833334,743.8978395833334,0.0,0.0,0.00020926507307797697,743.9355125000001,744.09925,743.9045500000001,743.7691,743.7421375,743.8032375,743.8214625,743.6809375,743.7665875,744.0586875,744.0934125,744.0992,743.9355125000001,744.09925,743.9045500000001,743.7691,743.7421375,743.8032375,743.8214625,743.6809375,743.7665875,744.0586875,744.0934125,744.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
