,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_Toledo_Horizontal_1MOD_1.csv,7.799463970846994,7.799462572504088,7.799463970846994,7.799462572504088,1.7928705261738287e-05,1.7928705261738287e-05,88101.15482906,88101.15482906,7761813482.214003,7761813482.214003,46.13418927083334,46.13418927083334,0.0,0.0,5.0509644483194494e-05,46.13168625,46.13087125,46.130818749999996,46.132735,46.13386750000001,46.13382125000001,46.13376875,46.135685,46.13681750000001,46.13677125000001,46.13671875,46.13671,46.13168625,46.13087125,46.130818749999996,46.132735,46.13386750000001,46.13382125000001,46.13376875,46.135685,46.13681750000001,46.13677125000001,46.13671875,46.13671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_10.csv,131.1685295299395,131.1685032631773,131.1685295299395,131.1685032631773,2.0025201365569956e-05,2.0025201365569956e-05,7314.188106275317,7314.188106275317,53497347.65397931,53497347.65397931,555.6974052083334,555.6974052083334,0.0,0.0,3.701255317160524e-05,555.7282625,555.7225,555.7123,555.7136625,555.7104,555.7002125,555.6900875,555.6914,555.6881375,555.678,555.6678,555.6661,555.7282625,555.7225,555.7123,555.7136625,555.7104,555.7002125,555.6900875,555.6914,555.6881375,555.678,555.6678,555.6661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_11.csv,84.43559802314476,84.43560178999851,84.43559802314476,84.43560178999851,-4.461215212359093e-06,-4.461215212359093e-06,11084.713980669307,11084.713980669307,122870884.0332456,122870884.0332456,366.67390416666666,366.67390416666666,0.0,0.0,4.769838030264437e-05,366.6980625,366.6971375,366.6919625,366.68685000000005,366.68167500000004,366.6764375,366.67126249999995,366.66614999999996,366.66101249999997,366.6558375,366.6506625,366.6498,366.6980625,366.6971375,366.6919625,366.68685000000005,366.68167500000004,366.6764375,366.67126249999995,366.66614999999996,366.66101249999997,366.6558375,366.6506625,366.6498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_12.csv,41.27784338058532,41.27784138849559,41.27784338058532,41.27784138849559,4.826050883366406e-06,4.826050883366406e-06,21417.952318377273,21417.952318377273,458728681.5122824,458728681.5122824,189.76955833333332,189.76955833333332,0.0,0.0,4.6715960988503464e-05,189.7806,189.7819,189.7807,189.7755625,189.7720375,189.77091249999998,189.7697875,189.7646625,189.76113750000002,189.76000000000002,189.7588,189.7586,189.7806,189.7819,189.7807,189.7755625,189.7720375,189.77091249999998,189.7697875,189.7646625,189.76113750000002,189.76000000000002,189.7588,189.7586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_2.csv,29.527890045815038,29.52789001407571,29.527890045815038,29.52789001407571,1.0748931345005985e-07,1.0748931345005985e-07,28910.868335276602,28910.868335276602,835838307.8996993,835838307.8996993,140.58641562499997,140.58641562499997,0.0,0.0,5.416682858253727e-07,140.5863625,140.5863,140.5863,140.5863625,140.5864,140.5864,140.5864,140.5864625,140.5865,140.5865,140.5865,140.5865,140.5863625,140.5863,140.5863,140.5863625,140.5864,140.5864,140.5864,140.5864625,140.5865,140.5865,140.5865,140.5865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_3.csv,74.70887724483816,74.70887721467845,74.70887724483816,74.70887721467845,4.0369656062466674e-08,4.0369656062466674e-08,12424.957014503769,12424.957014503769,154379556.8122664,154379556.8122664,327.12188437500004,327.12188437500004,0.0,0.0,5.50984383391543e-06,327.120375,327.11940000000004,327.11879999999996,327.1211375,327.1222625,327.1216,327.121,327.1233375,327.1245,327.1238875,327.1232125,327.1231,327.120375,327.11940000000004,327.11879999999996,327.1211375,327.1222625,327.1216,327.121,327.1233375,327.1245,327.1238875,327.1232125,327.1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_4.csv,119.10871420432997,119.1087168012994,119.10871420432997,119.1087168012994,-2.1803353718041762e-06,-2.1803353718041762e-06,8016.323875082668,8016.323875082668,64261448.470220394,64261448.470220394,507.02484270833344,507.02484270833344,0.0,0.0,6.691610314233505e-06,507.022675,507.0204875,507.0186125,507.023925,507.02632500000004,507.0243875,507.02251250000006,507.02782500000006,507.03026250000005,507.0283875,507.0265125,507.0262,507.022675,507.0204875,507.0186125,507.023925,507.02632500000004,507.0243875,507.02251250000006,507.02782500000006,507.03026250000005,507.0283875,507.0265125,507.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_5.csv,155.42004135846955,155.42004064820708,155.42004135846955,155.42004064820708,4.569954228372808e-07,4.569954228372808e-07,6218.223131691175,6218.223131691175,38666298.9154992,38666298.9154992,653.6393541666667,653.6393541666667,0.0,0.0,6.682094637807863e-06,653.6384125,653.63495,653.63105,653.6394,653.64285,653.6389624999999,653.6351375,653.6435,653.6469875,653.6431500000001,653.63925,653.6386,653.6384125,653.63495,653.63105,653.6394,653.64285,653.6389624999999,653.6351375,653.6435,653.6469875,653.6431500000001,653.63925,653.6386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_6.csv,183.06851721381798,183.06851105387128,183.06851721381798,183.06851105387128,3.364831272278934e-06,3.364831272278934e-06,5310.418097790574,5310.418097790574,28200540.37334166,28200540.37334166,765.3776552083333,765.3776552083333,0.0,0.0,7.265725180150903e-06,765.3801249999999,765.37445,765.36815,765.3795375000001,765.3838125000001,765.3774500000002,765.37115,765.3825375,765.38685,765.3805375000001,765.3741625000001,765.3731000000001,765.3801249999999,765.37445,765.36815,765.3795375000001,765.3838125000001,765.3774500000002,765.37115,765.3825375,765.38685,765.3805375000001,765.3741625000001,765.3731000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Horizontal_1MOD_7.csv,187.22947737864013,187.2294685291367,187.22947737864013,187.2294685291367,4.726554564626895e-06,4.726554564626895e-06,5196.398688420674,5196.398688420674,27002559.329020105,27002559.329020105,782.1715760416665,782.1715760416665,0.0,0.0,1.3272310621508306e-05,782.1833375,782.1728375,782.1604624999999,782.178525,782.1844125,782.1720249999998,782.1595749999999,782.177625,782.1835125,782.1711374999999,782.1587625,782.1567,782.1833375,782.1728375,782.1604624999999,782.178525,782.1844125,782.1720249999998,782.1595749999999,782.177625,782.1835125,782.1711374999999,782.1587625,782.1567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
