,Pavg,Pdet,Front_Pavg,Front_Pdet,Mismatch_rel,Front_Mismatch_rel,MAD/G_Total,Front_MAD/G_Total,MAD/G_Total**2,Front_MAD/G_Total**2,poat,gfront,grear,bifi_ratio,stdev,POAT_Irradiance_cell_0,POAT_Irradiance_cell_1,POAT_Irradiance_cell_2,POAT_Irradiance_cell_3,POAT_Irradiance_cell_4,POAT_Irradiance_cell_5,POAT_Irradiance_cell_6,POAT_Irradiance_cell_7,POAT_Irradiance_cell_8,POAT_Irradiance_cell_9,POAT_Irradiance_cell_10,POAT_Irradiance_cell_11,FrontIrradiance_cell_0,FrontIrradiance_cell_1,FrontIrradiance_cell_2,FrontIrradiance_cell_3,FrontIrradiance_cell_4,FrontIrradiance_cell_5,FrontIrradiance_cell_6,FrontIrradiance_cell_7,FrontIrradiance_cell_8,FrontIrradiance_cell_9,FrontIrradiance_cell_10,FrontIrradiance_cell_11,BackIrradiance_cell_0,BackIrradiance_cell_1,BackIrradiance_cell_2,BackIrradiance_cell_3,BackIrradiance_cell_4,BackIrradiance_cell_5,BackIrradiance_cell_6,BackIrradiance_cell_7,BackIrradiance_cell_8,BackIrradiance_cell_9,BackIrradiance_cell_10,BackIrradiance_cell_11
irr_Toledo_Optimo_1.csv,3.7350679635956707,3.7350651973708726,3.7350679635956707,3.7350651973708726,7.406089594041987e-05,7.406089594041987e-05,165173.01603677147,165173.01603677147,27282125226.683567,27282125226.683567,26.7726871875,26.7726871875,0.0,0.0,0.0010306235908773681,26.77933875,26.82170625,26.77482375,26.757085,26.740795,26.729476249999998,26.76491375,26.76518875,26.787178750000002,26.82092,26.76968,26.76114,26.77933875,26.82170625,26.77482375,26.757085,26.740795,26.729476249999998,26.76491375,26.76518875,26.787178750000002,26.82092,26.76968,26.76114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_10.csv,174.77554348577354,174.77559833460145,174.77554348577354,174.77559833460145,-3.138243876321667e-05,-3.138243876321667e-05,6042.42367617624,6042.42367617624,36510883.88241519,36510883.88241519,731.8463131944445,731.8463131944445,0.0,0.0,0.0001977883560610334,731.8522958333333,731.7869625000001,731.8503375,731.8757958333333,731.7685833333334,731.5959500000001,731.7216500000001,731.8330166666667,731.8409666666666,731.809975,732.0870249999999,732.1331999999999,731.8522958333333,731.7869625000001,731.8503375,731.8757958333333,731.7685833333334,731.5959500000001,731.7216500000001,731.8330166666667,731.8409666666666,731.809975,732.0870249999999,732.1331999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_11.csv,117.43229738451502,117.43244841332104,117.43229738451502,117.43244841332104,-0.00012860925774305088,-0.00012860925774305088,8840.104044556778,8840.104044556778,78147439.5185891,78147439.5185891,500.2345524305556,500.2345524305556,0.0,0.0,0.00030524286577167885,500.19124166666666,500.247525,500.570475,500.1668625,499.9565625,500.10864999999995,500.37955,500.25295000000006,500.23761250000007,500.3557875,500.1877125,500.1597,500.19124166666666,500.247525,500.570475,500.1668625,499.9565625,500.10864999999995,500.37955,500.25295000000006,500.23761250000007,500.3557875,500.1877125,500.1597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_12.csv,54.68063281459226,54.680578107434854,54.68063281459226,54.680578107434854,0.00010004850818745581,0.00010004850818745581,18037.30702820787,18037.30702820787,325344444.829837,325344444.829837,245.16550520833331,245.16550520833331,0.0,0.0,0.0005564043692298191,245.06802499999998,245.09915,245.30464999999998,245.12789999999998,245.0212125,245.101475,245.383925,245.174875,245.00905,245.0343875,245.30791250000004,245.35350000000005,245.06802499999998,245.09915,245.30464999999998,245.12789999999998,245.0212125,245.101475,245.383925,245.174875,245.00905,245.0343875,245.30791250000004,245.35350000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_2.csv,48.9283786929767,48.92790531125661,48.9283786929767,48.92790531125661,0.0009674992974169072,0.0009674992974169072,19969.808757685587,19969.808757685587,398793261.818536,398793261.818536,221.44055277777775,221.44055277777775,0.0,0.0,0.0004773426180845415,221.3855625,221.36370416666665,221.34492916666667,221.38955,221.391275,221.35295,221.39225,221.6373625,221.66455,221.46821250000002,221.44968749999998,221.4466,221.3855625,221.36370416666665,221.34492916666667,221.38955,221.391275,221.35295,221.39225,221.6373625,221.66455,221.46821250000002,221.44968749999998,221.4466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_3.csv,89.59369640829132,89.59365848006694,89.59369640829132,89.59365848006694,4.2333585852816213e-05,4.2333585852816213e-05,11408.437047195639,11408.437047195639,130152435.85982595,130152435.85982595,387.6188711805555,387.6188711805555,0.0,0.0,0.00036490822786012416,387.7166541666667,387.5015375,387.6019625,387.8785125,387.8126625,387.4728625,387.6514375,387.5330125,387.4406125,387.46685,387.65914999999995,387.6912,387.7166541666667,387.5015375,387.6019625,387.8785125,387.8126625,387.4728625,387.6514375,387.5330125,387.4406125,387.46685,387.65914999999995,387.6912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_4.csv,128.45548615425685,128.45528932700674,128.45548615425685,128.45528932700674,0.00015322603650247402,0.00015322603650247402,8117.399139899791,8117.399139899791,65892168.79644588,65892168.79644588,544.7712270833333,544.7712270833333,0.0,0.0,0.00026277356470287203,544.54975,544.573,544.894,544.7781875000001,544.638875,544.6057625000001,544.7843375,544.9174125000001,544.9512,544.8947999999999,544.8384,544.829,544.54975,544.573,544.894,544.7781875000001,544.638875,544.6057625000001,544.7843375,544.9174125000001,544.9512,544.8947999999999,544.8384,544.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_5.csv,165.03947278353726,165.03965631150714,165.03947278353726,165.03965631150714,-0.00011120246979601234,-0.00011120246979601234,6385.987302062464,6385.987302062464,40780833.82210302,40780833.82210302,692.4732670138887,692.4732670138887,0.0,0.0,0.0003344784916904318,692.5750375,692.5743208333333,692.6366458333333,692.5593458333333,692.5743333333332,692.692225,692.723575,692.5706958333334,692.4078583333334,692.2621583333332,692.0677083333334,692.0353,692.5750375,692.5743208333333,692.6366458333333,692.5593458333333,692.5743333333332,692.692225,692.723575,692.5706958333334,692.4078583333334,692.2621583333332,692.0677083333334,692.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_6.csv,202.5714171013531,202.5702125502511,202.5714171013531,202.5702125502511,0.0005946303378863149,0.0005946303378863149,5237.39995705115,5237.39995705115,27430358.310119383,27430358.310119383,844.3360305555553,844.3360305555553,0.0,0.0,0.00039834567755058767,843.9638749999999,844.2500624999999,844.1324374999999,844.0346875,844.1378,844.36465,844.22575,844.1614541666667,844.2608166666666,844.5362,844.948,845.0166333333333,843.9638749999999,844.2500624999999,844.1324374999999,844.0346875,844.1378,844.36465,844.22575,844.1614541666667,844.2608166666666,844.5362,844.948,845.0166333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irr_Toledo_Optimo_7.csv,210.34082166562808,210.34075977348294,210.34082166562808,210.34075977348294,2.9424694957924658e-05,2.9424694957924658e-05,5048.858235470175,5048.858235470175,25490969.481875006,25490969.481875006,875.8664402777777,875.8664402777777,0.0,0.0,0.0002512983850558651,875.5695958333333,875.5559583333334,875.9495083333334,875.8338083333333,875.6518458333334,875.5851666666667,875.9169666666667,876.1118916666667,876.1381416666667,876.0396166666667,876.0237166666667,876.0210666666667,875.5695958333333,875.5559583333334,875.9495083333334,875.8338083333333,875.6518458333334,875.5851666666667,875.9169666666667,876.1118916666667,876.1381416666667,876.0396166666667,876.0237166666667,876.0210666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
